"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping","Synonym  Common  Name","VBA taxon  I D","Synonym  Name","VIC  Advisory  Status","Authority","Taxon Type","Restricted  Flag","Primary  Discipline","FFG  Act  Status","Version  Date","category","NVIS  Growth  Form"
"Callocephalon fimbriatum","urn:lsid:biodiversity.org.au:afd.taxon:56514a28-86db-4296-be0f-5f96f46e07c4","Callocephalon fimbriatum","Cacatuidae",,"Gang-gang Cockatoo",,,"10268",,,,"Other Non-passerine birds","breeding records only","Terrestrial fauna","In Review","2020-09-09","IR",
"Caladenia rosella","https://id.biodiversity.org.au/node/apni/2894212","Caladenia rosella","Orchidaceae",,"Little Pink Spider-orchid",,"Rosella Spider-orchid, Pink Spider-orchid, Little Pink Spider-orchid","503669","Arachnorchis rosella, Caladenia rosella","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Thelymitra epipactoides","https://id.biodiversity.org.au/node/apni/2909701","Thelymitra epipactoides","Orchidaceae",,"Metallic Sun-orchid",,"Metallic Sun Orchid, Stout Sun-orchid, Metallic Sun-orchid","503367","Thelymitra epipactoides","Endangered","F. Muell.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Gramastacus insolitus","urn:lsid:biodiversity.org.au:afd.taxon:a3160f69-f786-47b2-93c3-adbf59fe04a7","Gramastacus insolitus","Parastacidae",,"Western Swamp Crayfish",,"Western Swamp Cray","1671","Gramastacus gracilis, Gramastacus insolitus, Gramastacus insolitus insolitus","Critically endangered","Riek, 1972","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Caladenia versicolor","https://id.biodiversity.org.au/node/apni/2916883","Caladenia versicolor","Orchidaceae",,"Candy Spider-orchid",,"Candy Spider-orchid, Grampians Spider-orchid, Candy Spider Orchid","500522","Caladenia sp. aff. patersonii, Caladenia aerochila, Caladenia versicolor, Calonema aerochilum, Caladenia sp. aff. patersonii (Grampians), Arachnorchis versicolor","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Engaeus sternalis","urn:lsid:biodiversity.org.au:afd.taxon:da10cad3-43c3-419d-b6a2-daa13307891b","Engaeus sternalis","Parastacidae",,"Warragul Burrowing Crayfish",,,"1693","Pseudoengaeus sternalis","Critically endangered","(Clark, 1936)","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Dinotoperla walkeri","urn:lsid:biodiversity.org.au:afd.taxon:84eb0b40-28cb-4e69-b5b0-3772023ae43a","Dinotoperla walkeri","Gripopterygidae",,"Stonefly",,"Stonefly","75214","Dinotoperla Dinotoperla walkeri","Vulnerable","Dean & St Clair, 2006","Invertebrates","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Euastacus crassus","urn:lsid:biodiversity.org.au:afd.taxon:96c67573-b1dc-41b6-ab55-5442a15991d2","Euastacus crassus","Parastacidae",,"Alpine Spiny Crayfish",,,"1634","Euastacus nobilis crassus","Endangered","Riek, 1951","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Gariwerdeus ingletonensis","urn:lsid:biodiversity.org.au:afd.taxon:671e41b8-6d78-4f75-a009-391ef15e468f","Gariwerdeus ingletonensis","Phreatoicidae",,"freshwater isopod",,,"75164",,"Vulnerable","Wilson & Keable, 2002","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Caladenia formosa","https://id.biodiversity.org.au/node/apni/2888253","Caladenia formosa","Orchidaceae",,"Elegant Spider-orchid",,"Large Crimson Spider Orchid, Elegant Spider-orchid","504486","Calonema haemanthum, Calonemorchis haemantha, Arachnorchis formosa, Caladenia formosa, Caladenia haemantha","Vulnerable","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Austrogammarus haasei","urn:lsid:biodiversity.org.au:afd.taxon:b6659349-ad08-47b8-b836-19eceb33783e","Austrogammarus haasei","Paramelitidae",,"Sherbrooke Amphipod",,,"1467",,"Vulnerable","(Sayce, 1902)","Aquatic inverts","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Pseudocalliax tooradin","urn:lsid:biodiversity.org.au:afd.taxon:9e00ddf9-555c-4111-a037-d47217708ebd","Calliax tooradin","Callianassidae",,"Ghost shrimp",,,"15255","Eucalliax tooradin","Vulnerable","(Poore & Griffin, 1979)","Aquatic inverts","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Engaeus urostrictus","urn:lsid:biodiversity.org.au:afd.taxon:76dcdc92-b558-4835-8381-a13eafbe8cde","Engaeus urostrictus","Parastacidae",,"Dandenong Burrowing Crayfish",,,"1685",,"Critically endangered","Riek, 1969","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
