"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping","Synonym  Common  Name","VBA taxon  I D","Synonym  Name","VIC  Advisory  Status","Authority","Taxon Type","Restricted  Flag","Primary  Discipline","FFG  Act  Status","Version  Date","category","NVIS  Growth  Form"
"Caladenia sp. aff. venusta (Kilsyth South)","https://id.biodiversity.org.au/node/apni/2901710","Caladenia sp. Kilsyth South (G.S.Lorimer 1253)","Orchidaceae",,"Kilsyth South Spider-orchid",,"Kilsyth South Spider-orchid","505431","Caladenia sp. aff. venusta 1, Caladenia sp. aff. venusta (Kilsyth South), Caladenia sp. Kilsyth South (G.S.Lorimer 1253), Arachnorchis sp. aff. venusta (Kilsyth South), Arachnorchis sp. aff. venusta 1","Endangered","sensu Ross (2000)","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Caladenia arenaria","https://id.biodiversity.org.au/node/apni/2910924","Caladenia arenaria","Orchidaceae",,"Sandhill Spider-orchid",,"Sandhill Spider Orchid","528650","Caladenia orientalis (misapplied), Arachnorchis arenaria, Calonema arenaria, Caladenia patersonii var. arenaria, Calonemorchis arenaria",,"Fitzg.","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR",
"Caladenia hastata","https://id.biodiversity.org.au/node/apni/2891001","Caladenia hastata","Orchidaceae",,"Mellblom's Spider-orchid",,"Mellblom's Spider-orchid, Melblom's Spider-orchid, Mellblom's Spider Orchid","504348","Caladenia patersonii var. hastata, Arachnorchis hastata, Calonema hastatum, Caladenia hastata, Calonemorchis hastata","Endangered","(Nicholls) Rupp","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Austrogammarus australis","urn:lsid:biodiversity.org.au:afd.taxon:dd6dd982-9b25-4f8c-906e-9de67be17d80","Austrogammarus australis","Paramelitidae",,"Dandenong Freshwater Amphipod",,,"1464",,"Endangered","(Sayce, 1901)","Aquatic inverts","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Prasophyllum sp. aff. validum A","https://id.biodiversity.org.au/name/apni/194450","Prasophyllum sp. aff. validum A","Orchidaceae",,"Woodland Leek-orchid",,"Inland Leek-orchid, Woodland Leek-orchid","505904","Prasophyllum sp. aff. validum A, Prasophyllum sp. aff. pyriforme (Goldfields), Prasophyllum sp. aff. validum","Endangered","sensu Rouse (2002)","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR",
"Colubotelson joyneri","urn:lsid:biodiversity.org.au:afd.taxon:21001944-c73d-4237-9787-f5d7db8accd2","Colubotelson joyneri","Phreatoicidae",,"freshwater isopod",,"Phreatoicid Isopod","75160","Colubotelson Colubotelson joyneri","Vulnerable","(Nicholls, 1926)","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Pterostylis tenuissima","https://id.biodiversity.org.au/node/apni/2918294","Pterostylis tenuissima","Orchidaceae",,"Swamp Greenhood",,"Swamp Greenhood","502819","Diplodium tenuissimum, Pterostylis tenuissima","Vulnerable","Nicholls","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR","Forb"
"Pseudemoia pagenstecheri","urn:lsid:biodiversity.org.au:afd.taxon:32509547-85d6-4d13-86fc-df94d9df1e2f","Pseudemoia pagenstecheri","Scincidae",,"Tussock Skink",,"Tussock Skink","12993","Pseudemoia pagenstecheri","Vulnerable",,"Reptiles","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Caladenia flavovirens","https://id.biodiversity.org.au/name/apni/119061","Caladenia flavovirens","Orchidaceae",,"Christmas Spider-orchid",,"Christmas Spider-orchid, Summer Spider Orchid, Summer Spider-orchid","500541","Caladenia pallida p.p., Arachnorchis flavovirens, Caladenia flavovirens, Caladenia beaugleholei, Calonemorchis beaugleholei, Calonema beaugleholei","Rare","G.W. Carr","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR","Forb"
"Diuris fragrantissima","https://id.biodiversity.org.au/node/apni/2921128","Diuris fragrantissima","Orchidaceae",,"Sunshine Diuris",,"White Diuris, Sunshine Diuris, Snow in the Paddock, Fragrant Doubletail","504414","Diuris alba, Diuris fragrantissima, Diuris punctata var. albo-violacea","Endangered","D.L. Jones & M.A. Clem.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Prasophyllum roseum","https://id.biodiversity.org.au/name/apni/9178014","Prasophyllum roseum","Orchidaceae",,"Pink-lip Leek-orchid",,"Fitzgerald's Leek-orchid, Pink-lip Leek-orchid, Pink-lip Leek-orchid","504565","Prasophyllum pallidum, Prasophyllum sp. aff. fitzgeraldii A, Prasophyllum lindleyanum, Prasophyllum sp. aff. fitzgeraldii 1, Prasophyllum fitzgeraldii","Endangered","sensu Rouse (2002)","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Caladenia audasii","https://id.biodiversity.org.au/node/apni/2886433","Caladenia audasii","Orchidaceae",,"McIvor Spider-orchid",,"McIvor Spider Orchid, Audas' Spider-orchid, McIvor Spider-orchid","503664","Calonema audasii, Calonemorchis audasii, Caladenia audasii, Arachnorchis audasii","Endangered","R.S. Rogers","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Calochilus richiae","https://id.biodiversity.org.au/node/apni/2898684","Calochilus richiae","Orchidaceae",,"Bald-tip Beard-orchid",,"Bald-tip Beard-orchid, Bald-tip Beard Orchid, Semi-beard Orchid","500588","Calochilus richae, Calochilus richiae, Calochilus richii","Endangered","Nicholls","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Caladenia valida","https://id.biodiversity.org.au/name/apni/116854","Caladenia valida","Orchidaceae",,"Robust Spider-orchid",,"Robust Spider Orchid, Robust Spider-orchid","501022","Calonema validum, Calonemorchis valida, Arachnorchis valida, Caladenia reticulata var. valida, Caladenia valida","Endangered","(Nicholls) M.A. Clem. & D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Litoria spenceri","urn:lsid:biodiversity.org.au:afd.taxon:6557c054-d536-47fc-b03f-ba2a751701b5","Litoria spenceri","Hylidae",,"Spotted Tree Frog",,,"13195",,"Critically endangered",,"Amphibians","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Caladenia calcicola","https://id.biodiversity.org.au/node/apni/2918502","Caladenia calcicola","Orchidaceae",,"Limestone Spider-orchid",,"Bats Ridges Spider Orchid, Limestone Spider-orchid","500525","Calonema calcicolum, Calonemorchis calcicola, Arachnorchis calcicola, Caladenia calcicola","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Morethia adelaidensis","urn:lsid:biodiversity.org.au:afd.taxon:843c8807-a33d-43c1-94c1-2b6d916a47a7","Morethia adelaidensis","Scincidae",,"Samphire Skink",,,"12525",,"Endangered",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Phreatoicopsis terricola","urn:lsid:biodiversity.org.au:afd.taxon:66dc4cf6-fd72-4020-bea8-4ac97ea31faf","Phreatoicopsis terricola","Amphisopodidae",,"freshwater isopod",,,"15262",,"Vulnerable","Spencer & Hall, 1897","Aquatic inverts","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Tamasia furcilla","urn:lsid:biodiversity.org.au:afd.taxon:20cb9c1d-b91e-41bc-ad6f-6bd4d5a55c19","Latarima furcilla","Calocidae",,"Caddisfly",,,"3023",,"Vulnerable","Neboiss, 1984","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Haliaeetus leucogaster","urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723","Haliaeetus (Pontoaetus) leucogaster","Accipitridae",,"White-bellied Sea-Eagle",,,"10226",,"Vulnerable",,"Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Caladenia concolor","https://id.biodiversity.org.au/node/apni/2916278","Caladenia concolor","Orchidaceae",,"Crimson Spider-orchid",,"Crimson Spider Orchid, Crimson Spider-orchid, Maroon Spider-orchid","504347","Caladenia patersonii var. concolor, Caladenia concolor, Arachnorchis concolor, Calonemorchis concolor, Calonema concolor","Endangered","Fitzg.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Prasophyllum retroflexum","https://id.biodiversity.org.au/name/apni/163861","Prasophyllum retroflexum","Orchidaceae",,"Curled Leek-orchid",,"Kiandra Leek Orchid, Congested Leek Orchid, Curled Leek-orchid","507735","Prasophyllum retroflexum",,"D.L. Jones","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR",
"Galaxias aequipinnis","urn:lsid:biodiversity.org.au:afd.taxon:ec23a8e8-87e4-498b-bacb-5884fcb68bf7","Galaxias aequipinnis","Galaxiidae",,"East Gippsland Galaxias",,"Arte Galaxias, Mountain Galaxias","528521","Galaxias sp. 4 (Arte), Galaxias sp. 4, Galaxias sp. 17, Galaxias olidus","Endangered","Gunther, 1871","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Thelymitra mackibbinii","https://id.biodiversity.org.au/node/apni/2902669","Thelymitra x mackibbinii","Orchidaceae",,"Brilliant Sun-orchid",,"Babes-in-the-cradle, Brilliant Sun-orchid, Brilliant Sun Orchid","503376","Thelymitra X mackibbinii, Thelymitra mackibbinii","Endangered","F. Muell.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Galaxias mcdowalli","urn:lsid:biodiversity.org.au:afd.taxon:ea57b0eb-be75-4151-9a28-d1e87c9075df","Galaxias mcdowalli","Galaxiidae",,"McDowall's Galaxias",,"Roger Galaxias, Mountain Galaxias","528522","Galaxias sp. 12, Galaxias olidus, Galaxias sp. 5 (Rodger), Galaxias sp. 5","Critically endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Michelea microphylla","urn:lsid:biodiversity.org.au:afd.taxon:f2b828af-7639-4089-809a-413962cf0019","Michelea microphylla","Micheleidae",,"Michelea Species 5256",,,"15256",,"Vulnerable","Poore, 1997","Invertebrates","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Riekoperla darlingtoni","urn:lsid:biodiversity.org.au:afd.taxon:f9a42b9a-7cc6-456a-b8e7-c1fdca1a33e4","Riekoperla darlingtoni","Gripopterygidae",,"Mt Donna Buang Wingless Stonefly",,,"2512",,"Critically endangered","(Illies, 1968)","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Thaumatoperla flaveola","urn:lsid:biodiversity.org.au:afd.taxon:2da68879-43bc-40c9-820a-4e49fdbe9433","Thaumatoperla flaveola","Eustheniidae",,"Mount Stirling stonefly",,,"2366","Thaumatoperla flaveola","Vulnerable","Burns and Neboiss 1957","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Triaenodes uvida","urn:lsid:biodiversity.org.au:afd.taxon:ae92e32d-6b64-4a0e-9452-cadac3901502","Triaenodes uvida","Leptoceridae",,"Caddisfly",,"Caddisfly","75194","Triaenodes Triaenodes uvida","Vulnerable","Neboiss & Wells, 1998","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Polytelis anthopeplus","urn:lsid:biodiversity.org.au:afd.taxon:0a200cc7-ddb2-43f0-8d84-41b90590c303","Polytelis anthopeplus","Psittacidae",,"Regent Parrot",,,"10278","Polytelis anthopeplus anthopeplus","Vulnerable","Lear, 1831","Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Caladenia lowanensis","https://id.biodiversity.org.au/node/apni/2890196","Caladenia lowanensis","Orchidaceae",,"Wimmera Spider-orchid",,"Wimmera Spider-orchid, Wimmera Spider Orchid","500676","Caladenia lowanensis, Arachnorchis lowanensis, Caladenia sp. aff. reticulata (Wimmera)","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Pterostylis cheraphila","https://id.biodiversity.org.au/node/apni/2900533","Pterostylis cheraphila","Orchidaceae",,"Floodplain Rustyhood",,"Wimmera River Rusty-hood, Floodplain Rustyhood","503916","Oligochaetochilus cheraphilus, Pterostylis cheraphila, Pterostylis sp. aff. biseta (Wimmera River)","Vulnerable","D.L. Jones & M.A. Clem.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Synamphisopus doegi","urn:lsid:biodiversity.org.au:afd.taxon:3b986c6d-acbc-4a7a-87c4-342c56bebf8f","Synamphisopus doegi","Amphisopodidae",,"freshwater isopod",,"Phreatoicid Isopod","75169","Synamphisopus Synamphisopus doegi","Vulnerable","Wilson & Keable, 2002","Invertebrates","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Galaxias mungadhan","urn:lsid:biodiversity.org.au:afd.taxon:4bfad4eb-5bc5-4087-873a-b8976be9d7bd","Galaxias mungadhan","Galaxiidae",,"Dargo Galaxias",,"Mountain Galaxias","528523","Galaxias sp. 16, Galaxias sp. 6, Galaxias sp. 6 (Dargo), Galaxias findlayi, Galaxias olidus","Critically endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Notoperata sparsa","urn:lsid:biodiversity.org.au:afd.taxon:c09f4412-6e6b-4644-9a8a-6bed5f74d603","Notoperata sparsa","Leptoceridae",,"Caddisfly",,,"3120",,"Vulnerable","(Kimmins, 1953)","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Bossiaea vombata","https://id.biodiversity.org.au/node/apni/2905805","Bossiaea vombata","Fabaceae",,"Wombat Bossiaea",,"Wombat Bossiaea","505970","Bossiaea sp. aff. bracteosa (Wombat Forest), Bossiaea bracteosa p.p.","Endangered","J.H. Ross","Dicotyledons","restricted","Flora","Listed","2020-09-09","L",
"Engaeus phyllocercus","urn:lsid:biodiversity.org.au:afd.taxon:3763d0a5-ee1a-4097-8721-be02edc24803","Engaeus phyllocercus","Parastacidae",,"Narracan Burrowing Crayfish",,,"1695","Engaeus phyllocerus","Endangered","Smith & Schuster, 1913","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Philoria frosti","urn:lsid:biodiversity.org.au:afd.taxon:c0bc8e92-27b5-44a4-af1a-f7605aee5e5d","Philoria frosti","Limnodynastidae",,"Baw Baw Frog",,,"13106",,"Critically endangered",,"Amphibians","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Pterostylis despectans","https://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,"Lowly Greenhood",,"Lowly Greenhood","503957","Oligochaetochilus despectans, Pterostylis rufa var. despectans, Pterostylis despectans","Endangered","(Nicholls) M.A. Clem. & D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Engaeus australis","urn:lsid:biodiversity.org.au:afd.taxon:8156816a-23ab-417e-b367-34c2afe25bf1","Engaeus australis","Parastacidae",,"Lilly Pilly Burrowing Crayfish",,,"1686",,"Vulnerable","Riek, 1969","Mussels, decopod crustacea","restricted","Aquatic fauna","In Review","2020-09-09","IR",
"Caladenia amoena","https://id.biodiversity.org.au/node/apni/2898730","Caladenia amoena","Orchidaceae",,"Charming Spider-orchid",,"Charming Spider-orchid, Charming Spider Orchid","503726","Arachnorchis amoena, Caladenia amoena, Caladenia toxochila, Caladenia concinna","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Synamphisopus ambiguus","urn:lsid:biodiversity.org.au:afd.taxon:1ba1a321-0be9-45e8-8a76-5b25a1c12eb7","Synamphisopus ambiguus","Amphisopodidae",,"freshwater isopod",,,"75168",,"Vulnerable","(Sheard, 1936)","Invertebrates","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Victaphanta compacta","urn:lsid:biodiversity.org.au:afd.taxon:41e32a53-e39e-4881-b8e0-c377c3cbb8dc","Victaphanta compacta","Rhytididae",,"Otway Black Snail",,,"15050",,"Endangered","(Cox & Hedley, 1912)","Invertebrates","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Caladenia colorata","https://id.biodiversity.org.au/node/apni/2908569","Caladenia colorata","Orchidaceae",,"Colourful Spider-orchid",,"Small Western Spider-orchid, Colourful Spider-orchid","503729","Arachnorchis colorata, Caladenia sp. aff. colorata (Lower Glenelg River), Calonema coloratum, Caladenia sp. aff. colorata (Lower Glenelg), Arachnorchis sp. aff. colorata (Lower Glenelg River), Caladenia colorata, Arachnorchis sp. aff. colorata, Calonemorchis colorata","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Galaxias gunaikurnai","urn:lsid:biodiversity.org.au:afd.taxon:dd9ccbd9-2b23-4e64-8a68-ec70e2146770","Galaxias gunaikurnai","Galaxiidae",,"Shaw Galaxias",,"Mountain Galaxias","528524","Galaxias sp. 14, Galaxias sp. 7 (Shaw), Galaxias sp. 7, Galaxias findlayi, Galaxias olidus","Critically endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Phreatoicopsis raffae","urn:lsid:biodiversity.org.au:afd.taxon:6eed69be-25bb-409e-bf9e-a4914290ffd0","Phreatoicopsis raffae","Amphisopodidae",,"freshwater isopod",,,"75167",,"Vulnerable","Wilson & Keable, 2002","Aquatic inverts","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Litoria booroolongensis","urn:lsid:biodiversity.org.au:afd.taxon:740ba8d6-c86d-4af3-b44f-d69a2d686329","Litoria booroolongensis","Hylidae",,"Booroolong Tree Frog",,,"13168",,"Critically endangered",,"Amphibians","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Caladenia cretacea","https://id.biodiversity.org.au/name/apni/206480","Caladenia cretacea","Orchidaceae",,"Stuart Mill Spider-orchid",,"Stuart Mill Spider-orchid","505592","Arachnorchis sp. aff. venusta (Stuart Mill), Caladenia sp. aff. venusta 2, Caladenia cretacea, Arachnorchis cretacea, Arachnorchis sp. aff. venusta 2, Caladenia sp. aff. venusta (Stuart Mill)","Endangered","(D.L. Jones) G.N. Backh.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Calyptorhynchus banksii graptogyne","urn:lsid:biodiversity.org.au:afd.taxon:3d0bdf71-baf3-4c0d-a2d0-c3b95856c980","Calyptorhynchus (Calyptorhynchus) banksii graptogyne","Cacatuidae",,"Red-tailed Black-Cockatoo (south-eastern)",,,"10264","Calyptorhynchus magnificus","Endangered",,"Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Notopala sublineata","urn:lsid:biodiversity.org.au:afd.taxon:c77bc925-6cd1-49ce-9cb3-b0e1ab5dbf35","Notopala sublineata","Viviparidae",,"River Snail",,,"517",,"Critically endangered","(Conrad, 1850)","Aquatic inverts","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Austropyrgus grampianensis","urn:lsid:biodiversity.org.au:afd.taxon:a7d2241f-ca26-458d-bed4-e85e58eba100","Austropyrgus grampianensis","Tateidae",,"Dairy Creek Austropyrgus Snail",,,"75154","Pupiphryx grampianensis","Critically endangered","(Gabriel, 1939)","Aquatic inverts","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Calyptorhynchus lathami","urn:lsid:biodiversity.org.au:afd.taxon:db6c2bba-e721-407d-bb54-7e5b0ade3376","Calyptorhynchus (Calyptorhynchus) lathami","Cacatuidae",,"Glossy Black-Cockatoo",,,"10265",,"Vulnerable","(Temminck, 1807)","Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Engaeus rostrogaleatus","urn:lsid:biodiversity.org.au:afd.taxon:13abdfa3-3ebe-4f18-b725-5b3c05072fdd","Engaeus rostrogaleatus","Parastacidae",,"Strzelecki Burrowing Crayfish",,,"1683",,"Endangered","Horwitz, 1990","Mussels, decopod crustacea","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Prasophyllum subbisectum","https://id.biodiversity.org.au/node/apni/2900192","Prasophyllum subbisectum","Orchidaceae",,"Pomonal Leek-orchid",,"Pomonal Leek-orchid, Pomonal Leek Orchid","502724","Prasophyllum subbisectum","Endangered","Nicholls","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Wundacaenis flabellum","urn:lsid:biodiversity.org.au:afd.taxon:5aa55309-42b8-4c40-8aec-c24398b43afe","Wundacaenis flabellum","Caenidae",,"Mayfly",,,"1845",,"Vulnerable","Suter, 1993","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Pterostylis basaltica","https://id.biodiversity.org.au/node/apni/2909123","Pterostylis basaltica","Orchidaceae",,"Basalt Rustyhood",,"Basalt Rustyhood, Basalt Greenhood","504156","Pterostylis basaltica, Oligochaetochilus basalticus, Pterostylis sp. aff. excelsa (Basalt Plains)","Endangered","D.L. Jones & M.A. Clem.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Engaeus fultoni","urn:lsid:biodiversity.org.au:afd.taxon:368fdb2e-9b98-4916-8b18-c69bed1a7ea0","Engaeus fultoni","Parastacidae",,"Otway Burrowing Crayfish",,,"1674","Engaeus fossor","Vulnerable","Smith & Schuster, 1913","Mussels, decopod crustacea","restricted","Aquatic fauna","In Review","2020-09-09","IR",
"Caladenia tensa","https://id.biodiversity.org.au/node/apni/2896615","Caladenia tensa","Orchidaceae",,"Rigid Spider-orchid",,"Rigid Spider-orchid, Rigid Spider Orchid","500338","Caladenia sp. aff. dilatata (Wimmera), Caladenia tensa, Arachnorchis tensa, Caladenia dilatata p.p.","Vulnerable","G.W. Carr","Monocotyledons","restricted","Flora","In Review","2020-09-09","IR","Forb"
"Polytelis swainsonii","urn:lsid:biodiversity.org.au:afd.taxon:51dc6bc2-9165-4fc3-a374-1010ac3037d0","Polytelis swainsonii","Psittacidae",,"Superb Parrot",,,"10277",,"Endangered",,"Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Naiopegia xiphagrostis","urn:lsid:biodiversity.org.au:afd.taxon:67f8f9e6-d752-4a53-a449-d0f25fbb0708","Naiopegia xiphagrostis","Phreatoicidae",,"freshwater isopod",,,"75166",,"Vulnerable","Wilson & Keable, 2002","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Thaumatoperla alpina","urn:lsid:biodiversity.org.au:afd.taxon:41661a6d-9550-4583-9d6f-85957f9c6e7f","Thaumatoperla alpina","Eustheniidae",,"Alpine Stonefly",,,"2365",,"Vulnerable","Burns and Neboiss 1957","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Caladenia fulva","https://id.biodiversity.org.au/node/apni/2917537","Caladenia fulva","Orchidaceae",,"Tawny Spider-orchid",,"Tawny Spider Orchid, Tawny Spider-orchid","504498","Caladenia fulva, Calonema demissum, Calonemorchis demissa, Arachnorchis fulva, Caladenia demissa","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
