"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Lophostemon grandiflorus subsp. grandiflorus","https://id.biodiversity.org.au/node/apni/2902655","Lophostemon grandiflorus subsp. grandiflorus","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Chthonocephalus tomentellus","https://id.biodiversity.org.au/node/apni/2907024","Chthonocephalus tomentellus","Asteraceae",,,"P2","Priority 2: Poorly-known species"
"Taraxacum cygnorum","https://id.biodiversity.org.au/node/apni/2911871","Taraxacum cygnorum","Asteraceae",,,"EX","Presumed extinct"
"Banksia serratuloides subsp. serratuloides","https://id.biodiversity.org.au/node/apni/2912698","Banksia serratuloides subsp. serratuloides","Proteaceae",,,"VU","Vulnerable"
"Jacksonia remota","https://id.biodiversity.org.au/node/apni/2904790","Jacksonia remota","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Caesia sp. Koolanooka Hills (R. Meissner & Y. Caruso 78)","ALA_Caesia_sp_Koolanooka_Hills_R_Meissner_Y_Caruso_78","Caesia sp. Koolanooka Hills (R. Meissner & Y. Caruso 78)",,,,"P1","Priority 1: Poorly-known species"
"Neophoca cinerea","urn:lsid:biodiversity.org.au:afd.taxon:5c015f39-455f-4d7f-9914-ddbcb4918024","Neophoca cinerea","Otariidae",,"Australian sea-lion","VU","Vulnerable"
"Thryptomene johnsonii","https://id.biodiversity.org.au/node/apni/2903141","Thryptomene johnsonii","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Hibiscus calcicola","https://id.biodiversity.org.au/node/apni/2915583","Hibiscus calcicola","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Gastrolobium stenophyllum","https://id.biodiversity.org.au/node/apni/2902279","Gastrolobium stenophyllum","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia subrigida","https://id.biodiversity.org.au/node/apni/2906881","Acacia subrigida","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Olearia laciniifolia","https://id.biodiversity.org.au/node/apni/2887454","Olearia laciniifolia","Asteraceae",,,"P2","Priority 2: Poorly-known species"
"Eucalyptus phenax subsp. compressa","https://id.biodiversity.org.au/node/apni/2910635","Eucalyptus phenax subsp. compressa","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stackhousia sp. Red-blotched corolla (A. Markey 911)","https://id.biodiversity.org.au/taxon/apni/51270422","Stackhousia sp. Red-blotched corolla (A.Markey 911)","Celastraceae",,,"P3","Priority 3: Poorly-known species"
"Gallinago megala","urn:lsid:biodiversity.org.au:afd.taxon:6a6470ad-9928-49f3-9272-518fae2868c3","Gallinago (Gallinago) megala","Scolopacidae",,"Swinhoe's snipe","IA","Migratory birds protected under international agreement"
"Boronia tetragona","https://id.biodiversity.org.au/node/apni/2895149","Boronia tetragona","Rutaceae",,,"P3","Priority 3: Poorly-known species"
"Wyulda squamicaudata","urn:lsid:biodiversity.org.au:afd.taxon:5376b62e-6462-44aa-acd5-b13c2b82ed5d","Wyulda squamicaudata","Phalangeridae",,"scaly-tailed possum","P3","Priority 3: Poorly-known species"
"Acacia nodiflora","https://id.biodiversity.org.au/node/apni/2912167","Acacia nodiflora","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium tinkeri","https://id.biodiversity.org.au/node/apni/2889130","Stylidium tinkeri","Stylidiaceae",,,"P1","Priority 1: Poorly-known species"
"Acacia ataxiphylla subsp. ataxiphylla","https://id.biodiversity.org.au/node/apni/2903075","Acacia ataxiphylla subsp. ataxiphylla","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia truculenta","https://id.biodiversity.org.au/node/apni/2920985","Acacia truculenta","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Haemodorum capitatum","https://id.biodiversity.org.au/taxon/apni/51287309","Haemodorum capitatum","Haemodoraceae",,,"P1","Priority 1: Poorly-known species"
"Ricinocarpos brevis","https://id.biodiversity.org.au/node/apni/2906525","Ricinocarpos brevis","Euphorbiaceae",,,"EN","Endangered"
"Stylidium chiddarcoopingense","https://id.biodiversity.org.au/node/apni/2897607","Stylidium chiddarcoopingense","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Acacia kenneallyi","https://id.biodiversity.org.au/node/apni/2902008","Acacia kenneallyi","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Solanum oedipus","https://id.biodiversity.org.au/node/apni/2912498","Solanum oedipus","Solanaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia recurvata","https://id.biodiversity.org.au/node/apni/2901180","Acacia recurvata","Fabaceae",,,"VU","Vulnerable"
"Acacia oncinophylla subsp. patulifolia","https://id.biodiversity.org.au/node/apni/2906598","Acacia oncinophylla subsp. patulifolia","Fabaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Stylidium periscelianthum","https://id.biodiversity.org.au/node/apni/7988709","Stylidium periscelianthum","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Hydrocotyle sp. Hexaptera (T. Erickson TEE 173)","https://id.biodiversity.org.au/node/apni/2899542","Hydrocotyle sp. Hexaptera (T.Erickson TEE 173)","Araliaceae",,,"P1","Priority 1: Poorly-known species"
"Dampiera fitzgeraldensis","https://id.biodiversity.org.au/node/apni/2897197","Dampiera fitzgeraldensis","Goodeniaceae",,,"P2","Priority 2: Poorly-known species"
"Synaphea xela","https://id.biodiversity.org.au/node/apni/2889776","Synaphea xela","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Zaglossus bruijnii","ALA_Zaglossus_bruijnii","Zaglossus bruijnii",,,"western long-beaked echidna","EX","Presumed extinct"
"Commersonia rotundifolia","https://id.biodiversity.org.au/node/apni/2921100","Commersonia rotundifolia","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Tetraria sp. Chandala (G.J. Keighery 17055)","https://id.biodiversity.org.au/node/apni/2888017","Tetraria sp. Chandala (G.J.Keighery 17055)","Cyperaceae",,,"P2","Priority 2: Poorly-known species"
"Ptilotus marduguru","https://id.biodiversity.org.au/node/apni/2896549","Ptilotus marduguru","Amaranthaceae",,,"P2","Priority 2: Poorly-known species"
"Stylidium galioides","https://id.biodiversity.org.au/node/apni/2890743","Stylidium galioides","Stylidiaceae",,,"VU","Vulnerable"
"Lasiopetalum sp. Toodyay (F. Hort 2689)","https://id.biodiversity.org.au/name/apni/244818","Lasiopetalum sp. Toodyay (F.Hort 2689)","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Oldenlandia sp. Hamersley Station (A.A. Mitchell PRP 1479)","https://id.biodiversity.org.au/node/apni/2920686","Oldenlandia sp. Hamersley Station (A.A.Mitchell PRP 1479)","Rubiaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia sp. Jack Hills (R. Meissner & Y. Caruso 4)","ALA_Acacia_sp_Jack_Hills_R_Meissner_Y_Caruso_4","Acacia sp. Jack Hills (R. Meissner & Y. Caruso 4)",,,,"P1","Priority 1: Poorly-known species"
"Petrogale lateralis subsp. (ANWC CM15314)","ALA_Petrogale_lateralis_subsp_ANWC_CM15314","Petrogale lateralis subsp. (ANWC CM15314)",,,"McDonnell Range rock-wallaby","VU","Vulnerable"
"Banksia cypholoba","https://id.biodiversity.org.au/node/apni/2918381","Banksia cypholoba","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Limicola falcinellus","urn:lsid:biodiversity.org.au:afd.taxon:b33948fd-ee8d-4a35-bc7d-9da7cdb292dd","Limicola falcinellus","Scolopacidae",,"broad-billed sandpiper","IA","Migratory birds protected under international agreement"
"Calandrinia rubrisabulosa","https://id.biodiversity.org.au/taxon/apni/51291771","Calandrinia rubrisabulosa","Portulacaceae",,,"P3","Priority 3: Poorly-known species"
"Eremophila physocalyx","https://id.biodiversity.org.au/node/apni/2921075","Eremophila physocalyx","Scrophulariaceae",,,"P3","Priority 3: Poorly-known species"
"Phascogale calura","urn:lsid:biodiversity.org.au:afd.taxon:36b436b1-3dc2-487d-8386-8bf3f3972e40","Phascogale calura","Dasyuridae",,"red-tailed phascogale, kenngoor","CD","Conservation dependant"
"Hemiandra sp. Watheroo (S. Hancocks 4)","https://id.biodiversity.org.au/node/apni/2892294","Hemiandra sp. Watheroo (S.Hancocks 4)","Lamiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Baeckea sp. Muntadgin (E.T. Bailey 231)","https://id.biodiversity.org.au/node/apni/2916024","Baeckea sp. Muntadgin (E.T.Bailey 231)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Pultenaea pauciflora","https://id.biodiversity.org.au/node/apni/2892313","Pultenaea pauciflora","Fabaceae",,,"VU","Vulnerable"
"Tecticornia uniflora","https://id.biodiversity.org.au/node/apni/2898776","Tecticornia uniflora","Chenopodiaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Baeckea sp. Billeranga Hills (M.E. Trudgen 2206)","https://id.biodiversity.org.au/node/apni/2894011","Baeckea sp. Billeranga Hills (M.E.Trudgen 2206)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Guichenotia quasicalva","https://id.biodiversity.org.au/node/apni/2886784","Guichenotia quasicalva","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Iotasperma sessilifolium","https://id.biodiversity.org.au/node/apni/2914436","Iotasperma sessilifolium","Asteraceae",,,"P3","Priority 3: Poorly-known species"
"Acrostichum aureum","https://id.biodiversity.org.au/node/apni/2898344","Acrostichum aureum","Pteridaceae",,,"P1","Priority 1: Poorly-known species"
"Synaphea flexuosa","https://id.biodiversity.org.au/node/apni/2894428","Synaphea flexuosa","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Podotheca uniseta","https://id.biodiversity.org.au/node/apni/2887119","Podotheca uniseta","Asteraceae",,,"P3","Priority 3: Poorly-known species"
