"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Diuris punctata","https://id.biodiversity.org.au/name/apni/96160","Diuris punctata","Orchidaceae",,"17418","plants","Equisetopsida","Orchidaceae","Sm.",
"Sarcochilus hirticalcar","https://id.biodiversity.org.au/node/apni/2906295","Sarcochilus hirticalcar","Orchidaceae",,"8224","plants","Equisetopsida","Orchidaceae","(Dockrill) M.A.Clem. & B.J.Wallace","harlequin orchid"
"Dendrobium callitrophilum","https://id.biodiversity.org.au/node/apni/2907800","Tropilis callitrophilis","Orchidaceae",,"8944","plants","Equisetopsida","Orchidaceae","B.Gray & D.L.Jones","cypress orchid"
"Spiranthes australis","ALA_Spiranthes_australis_sensu_Hook_f","Spiranthes australis sensu Hook.f.","Orchidaceae",,"5003","plants","Equisetopsida","Orchidaceae","(R.Br.) Lindl.",
"Asplenium wildii","https://id.biodiversity.org.au/node/apni/2889223","Asplenium wildii","Aspleniaceae",,"12061","plants","Equisetopsida","Aspleniaceae","F.M.Bailey",
"Cycas scratchleyana","https://id.biodiversity.org.au/node/apni/2909346","Cycas scratchleyana","Cycadaceae",,"30730","plants","Equisetopsida","Cycadaceae","F.Muell.",
"Bulbophyllum weinthalii","https://id.biodiversity.org.au/name/apni/69796","Bulbophyllum weinthalii","Orchidaceae",,"9362","plants","Equisetopsida","Orchidaceae","R.S.Rogers","blotched bulbophyllum"
"Macrozamia parcifolia","https://id.biodiversity.org.au/node/apni/2895445","Macrozamia parcifolia","Zamiaceae",,"6481","plants","Equisetopsida","Zamiaceae","P.I.Forst. & D.L.Jones",
"Epthianura crocea crocea","urn:lsid:biodiversity.org.au:afd.taxon:e50978d3-d798-4cf1-913b-2e492fcd6b9e","Epthianura (Aurepthianura) crocea crocea","Meliphagidae",,"22458","animals","birds","Meliphagidae","Castelnau & Ramsay, 1877","yellow chat (gulf)"
"Macrozamia platyrhachis","https://id.biodiversity.org.au/node/apni/2895463","Macrozamia platyrhachis","Zamiaceae",,"16709","plants","Equisetopsida","Zamiaceae","F.M.Bailey",
"Cophixalus zweifeli","urn:lsid:biodiversity.org.au:afd.taxon:9f1cc87c-6c80-470c-ae55-07f124745c62","Cophixalus zweifeli","Microhylidae",,"19463","animals","amphibians","Microhylidae","Davies & McDonald, 1998","Cape Melville boulderfrog"
"Hymenophyllum gracilescens","https://id.biodiversity.org.au/node/apni/2902972","Hymenophyllum gracilescens","Hymenophyllaceae",,"12052","plants","Equisetopsida","Hymenophyllaceae","Domin",
"Dockrillia calamiformis","https://id.biodiversity.org.au/name/apni/169537","Dockrillia calamiformis","Orchidaceae",,"5762","plants","Equisetopsida","Orchidaceae","(Lodd.) M.A.Clem. & D.L.Jones",
"Hetaeria","https://id.biodiversity.org.au/node/apni/2907004","Hetaeria","Orchidaceae",,"20840","plants","Equisetopsida","Orchidaceae",,
"Dendrobium johannis","https://id.biodiversity.org.au/node/apni/2896253","Cepobaculum johannis","Orchidaceae",,"17451","plants","Equisetopsida","Orchidaceae","Rchb.f.","brown antelope orchid"
"Pterostylis longipetala","https://id.biodiversity.org.au/name/apni/74926","Pterostylis longipetala","Orchidaceae",,"31118","plants","Equisetopsida","Orchidaceae","Rupp",
"Chiloglottis sphyrnoides","https://id.biodiversity.org.au/name/apni/117396","Chiloglottis sphyrnoides","Orchidaceae",,"7979","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Habenaria ovoidea","https://id.biodiversity.org.au/name/apni/106566","Habenaria ovoidea","Orchidaceae",,"39922","plants","Equisetopsida","Orchidaceae",,
"Hymenophyllum lobbii","https://id.biodiversity.org.au/node/apni/2894170","Hymenophyllum lobbii","Hymenophyllaceae",,"12047","plants","Equisetopsida","Hymenophyllaceae","T.Moore",
"Dockrillia brevicauda","https://id.biodiversity.org.au/name/apni/178986","Dockrillia brevicauda","Orchidaceae",,"5766","plants","Equisetopsida","Orchidaceae","(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones",
"Liparis nugentiae","https://id.biodiversity.org.au/name/apni/65910","Liparis nugentiae","Orchidaceae",,"12772","plants","Equisetopsida","Orchidaceae","F.M.Bailey",
"Calochilus ammobius","https://id.biodiversity.org.au/name/apni/178004","Calochilus ammobius","Orchidaceae",,"27933","plants","Equisetopsida","Orchidaceae","D.L.Jones & B.Gray",
"Habenaria hymenophylla","https://id.biodiversity.org.au/name/apni/106415","Habenaria hymenophylla","Orchidaceae",,"12814","plants","Equisetopsida","Orchidaceae","Schltr.","rainforest habenaria"
"Liparis bracteata","https://id.biodiversity.org.au/name/apni/65746","Liparis bracteata","Orchidaceae",,"13180","plants","Equisetopsida","Orchidaceae","T.E.Hunt",
"Epthianura crocea macgregori","urn:lsid:biodiversity.org.au:afd.taxon:6bc10bdd-f140-467c-ad1d-e1359f6c613c","Epthianura (Aurepthianura) crocea macgregori","Meliphagidae",,"22459","animals","birds","Meliphagidae","Keast, 1958","yellow chat (Dawson)"
"Dienia","https://id.biodiversity.org.au/node/apni/2906827","Dienia","Orchidaceae",,"20601","plants","Equisetopsida","Orchidaceae",,
"Cycas tuckeri","https://id.biodiversity.org.au/node/apni/2919760","Cycas tuckeri","Cycadaceae",,"5937","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Calanthe","https://id.biodiversity.org.au/node/apni/2915861","Calanthe","Orchidaceae",,"20335","plants","Equisetopsida","Orchidaceae",,
"Aponogeton elongatus subsp. fluitans","https://id.biodiversity.org.au/node/apni/2907097","Aponogeton elongatus subsp. fluitans","Aponogetonaceae",,"21903","plants","Equisetopsida","Aponogetonaceae","Hellq. & S.W.L.Jacobs",
"Caladenia gracillima","https://id.biodiversity.org.au/name/apni/167934","Caladenia gracillima","Orchidaceae",,"26363","plants","Equisetopsida","Orchidaceae","(Rupp) D.L.Jones",
"Trachoma subluteum","https://id.biodiversity.org.au/name/apni/58418","Trachoma subluteum","Orchidaceae",,"34091","plants","Equisetopsida","Orchidaceae","(Rupp) Garay",
"Neochmia phaeton evangelinae","urn:lsid:biodiversity.org.au:afd.taxon:5bf94283-1341-418d-9b03-d5640274f9a6","Neochmia (Neochmia) phaeton evangelinae","Estrildidae",,"1370","animals","birds","Estrildidae","(Hombron & Jacquinot, 1841)","crimson finch (white-bellied subspecies)"
"Pseudovanilla","https://id.biodiversity.org.au/node/apni/2912652","Pseudovanilla","Orchidaceae",,"21359","plants","Equisetopsida","Orchidaceae",,
"Arthrochilus dockrillii","https://id.biodiversity.org.au/name/apni/102167","Arthrochilus dockrillii","Orchidaceae",,"13369","plants","Equisetopsida","Orchidaceae","Lavarack",
"Papillilabium","https://id.biodiversity.org.au/node/apni/2891387","Papillilabium","Orchidaceae",,"21217","plants","Equisetopsida","Orchidaceae",,
"Liparis angustilabris","https://id.biodiversity.org.au/name/apni/65725","Liparis angustilabris","Orchidaceae",,"12769","plants","Equisetopsida","Orchidaceae","(F.Muell.) Blaxell",
"Grastidium baileyi","https://id.biodiversity.org.au/name/apni/60234","Grastidium baileyi","Orchidaceae",,"19448","plants","Equisetopsida","Orchidaceae","(F.Muell.) Rauschert",
"Liparis",,,,,"12775","plants","Equisetopsida","Orchidaceae",,
"Hypochrysops piceatus","urn:lsid:biodiversity.org.au:afd.taxon:dc2b69f8-e979-432c-b1ba-645dad75a28d","Hypochrysops piceatus","Lycaenidae",,"6","animals","insects","Lycaenidae","(Kerr, Macqueen & Sands, 1969)","bulloak jewel"
"Dendrobium keffordii","https://id.biodiversity.org.au/name/apni/85785","Dendrobium keffordii","Orchidaceae",,"39950","plants","Equisetopsida","Orchidaceae",,
"Macrozamia machinii","https://id.biodiversity.org.au/node/apni/2914591","Macrozamia machinii","Zamiaceae",,"6480","plants","Equisetopsida","Zamiaceae","P.I.Forst. & D.L.Jones",
"Litoria myola","urn:lsid:biodiversity.org.au:afd.taxon:17551719-97f7-4ad4-8c30-30d25b4d77d8","Litoria myola","Hylidae",,"31630","animals","amphibians","Hylidae","Hoskin, 2007","Kuranda treefrog"
"Bulbophyllum johnsonii","https://id.biodiversity.org.au/name/apni/69554","Bulbophyllum johnsonii","Orchidaceae",,"13481","plants","Equisetopsida","Orchidaceae","T.E.Hunt",
"Didymoplexis pallens","https://id.biodiversity.org.au/name/apni/104090","Didymoplexis pallens","Orchidaceae",,"12844","plants","Equisetopsida","Orchidaceae","Griff.","crystal bells"
"Microtis parviflora","https://id.biodiversity.org.au/name/apni/74062","Microtis parviflora","Orchidaceae",,"16629","plants","Equisetopsida","Orchidaceae","R.Br.","slender onion orchid"
"Thelymitra x merraniae","https://id.biodiversity.org.au/name/apni/174706","Thelymitra x merraniae","Orchidaceae",,"29290","plants","Equisetopsida","Orchidaceae","Nicholls",
"Pterostylis mutica","https://id.biodiversity.org.au/name/apni/74977","Pterostylis mutica","Orchidaceae",,"14295","plants","Equisetopsida","Orchidaceae","R.Br.","midget greenhood"
"Selenocosmia strenua","urn:lsid:biodiversity.org.au:afd.taxon:86543abe-0ce5-49a2-9372-4a9bb9a0678e","Selenocosmia strenua","Theraphosidae",,"29182","animals","arachnids","Theraphosidae","(Thorell, 1881)",
"Thelymitra queenslandica","https://id.biodiversity.org.au/name/apni/188220","Thelymitra queenslandica","Orchidaceae",,"29280","plants","Equisetopsida","Orchidaceae","Jeanes",
"Pterostylis torquata","https://id.biodiversity.org.au/name/apni/178872","Pterostylis torquata","Orchidaceae",,"35660","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Nepenthes","https://id.biodiversity.org.au/taxon/apni/51290439","Nepenthes","Nepenthaceae",,"16623","plants","Equisetopsida","Nepenthaceae",,
"Corybas fimbriatus","https://id.biodiversity.org.au/name/apni/81704","Corybas fimbriatus","Orchidaceae",,"13326","plants","Equisetopsida","Orchidaceae","(R.Br.) Rchb.f.","fringed helmet orchid"
"Cycas","https://id.biodiversity.org.au/node/apni/2887109","Cycas","Cycadaceae",,"18759","plants","Equisetopsida","Cycadaceae",,
"Diplocaulobium glabrum","https://id.biodiversity.org.au/name/apni/77815","Diplocaulobium glabrum","Orchidaceae",,"12845","plants","Equisetopsida","Orchidaceae","(J.J.Sm.) Kraenzl.",
"Hymenophyllum whitei","https://id.biodiversity.org.au/node/apni/2906405","Hymenophyllum whitei","Hymenophyllaceae",,"13883","plants","Equisetopsida","Hymenophyllaceae","Goy",
"Dendrobium antennatum","https://id.biodiversity.org.au/node/apni/2907965","Ceratobium antennatum","Orchidaceae",,"13283","plants","Equisetopsida","Orchidaceae","Lindl.","antelope orchid"
"Ctenopteris walleri","https://id.biodiversity.org.au/node/apni/7801209","Ctenopteris walleri","Polypodiaceae",,"13957","plants","Equisetopsida","Polypodiaceae","(Maiden & Betche) S.B.Andrews",
"Lepidozamia","https://id.biodiversity.org.au/node/apni/2886286","Lepidozamia","Zamiaceae",,"20973","plants","Equisetopsida","Zamiaceae",,
"Bulbophyllum wadsworthii","https://id.biodiversity.org.au/name/apni/69776","Bulbophyllum wadsworthii","Orchidaceae",,"13258","plants","Equisetopsida","Orchidaceae","Dockrill",
"Trachoma","https://id.biodiversity.org.au/node/apni/2896824","Trachoma","Orchidaceae",,"21895","plants","Equisetopsida","Orchidaceae",,
"Microstylis amplexicaulis","https://id.biodiversity.org.au/name/apni/73742","Microstylis amplexicaulis","Orchidaceae",,"39903","plants","Equisetopsida","Orchidaceae",,
"Eulophia carrii","https://id.biodiversity.org.au/name/apni/100828","Eulophia carrii","Orchidaceae",,"39927","plants","Equisetopsida","Orchidaceae",,
"Gastrodia sesamoides","https://id.biodiversity.org.au/name/apni/88635","Gastrodia sesamoides","Orchidaceae",,"12806","plants","Equisetopsida","Orchidaceae","R.Br.","cinnamon bells"
"Cadetia clausa","https://id.biodiversity.org.au/name/apni/206420","Cadetia clausa","Orchidaceae",,"32313","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Dendrobium eriaeoides","https://id.biodiversity.org.au/name/apni/85468","Dendrobium eriaeoides","Orchidaceae",,"39947","plants","Equisetopsida","Orchidaceae",,
"Phaius australis","https://id.biodiversity.org.au/node/apni/2910902","Phaius australis","Orchidaceae",,"12722","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Amytornis barbatus barbatus","urn:lsid:biodiversity.org.au:afd.taxon:16804299-e7f3-490a-aa30-9fae990a8a64","Amytornis (Maluropsis) barbatus barbatus","Maluridae",,"29885","animals","birds","Maluridae","Favaloro & McEvey, 1968","grey grasswren (Bulloo)"
"Cycas media subsp. media","https://id.biodiversity.org.au/node/apni/2900669","Cycas media subsp. media","Cycadaceae",,"5940","plants","Equisetopsida","Cycadaceae","R.Br.",
"Calochilus grandiflorus","https://id.biodiversity.org.au/name/apni/99008","Calochilus grandiflorus","Orchidaceae",,"14139","plants","Equisetopsida","Orchidaceae","(Benth.) Domin","giant beard orchid"
"Phlegmariurus phlegmarioides","https://id.biodiversity.org.au/name/apni/242310","Phlegmariurus phlegmarioides","Lycopodiaceae",,"34782","plants","Equisetopsida","Lycopodiaceae","(Gaudich.) A.R.Field & Bostock",
"Calanthe triplicata","https://id.biodiversity.org.au/name/apni/94317","Calanthe triplicata","Orchidaceae",,"14760","plants","Equisetopsida","Orchidaceae","(Willemet) Ames","christmas orchid"
"Philoria kundagungan","urn:lsid:biodiversity.org.au:afd.taxon:fcb2e700-8046-4556-94bd-78d188dadd9c","Philoria kundagungan","Limnodynastidae",,"687","animals","amphibians","Limnodynastidae","(Ingram & Corben, 1975)","red-and-yellow mountainfrog"
"Emydura subglobosa subglobosa","urn:lsid:biodiversity.org.au:afd.taxon:c73bee3e-40b5-4a4c-9049-2900805aeb61","Emydura subglobosa subglobosa","Chelidae",,"29733","animals","reptiles","Chelidae","(Krefft, 1876)","Jardine River turtle"
"Pterostylis ophioglossa subsp. fusca","https://id.biodiversity.org.au/name/apni/75151","Pterostylis ophioglossa subsp. fusca","Orchidaceae",,"40233","plants","Equisetopsida","Orchidaceae",,
"Thelymitra media var. media","https://id.biodiversity.org.au/name/apni/115940","Thelymitra media var. media","Orchidaceae",,"12674","plants","Equisetopsida","Orchidaceae","R.Br.","tall sun orchid"
"Aponogeton cuneatus","https://id.biodiversity.org.au/node/apni/2911151","Aponogeton cuneatus","Aponogetonaceae",,"30917","plants","Equisetopsida","Aponogetonaceae","S.W.L.Jacobs",
"Dendrobium speciosum subsp. pedunculatum","https://id.biodiversity.org.au/name/apni/229893","Dendrobium speciosum subsp. pedunculatum","Orchidaceae",,"9707","plants","Equisetopsida","Orchidaceae","(Clemesha) D.P.Banks & Clemesha",
"Robiquetia gracilistipes","https://id.biodiversity.org.au/name/apni/59783","Robiquetia gracilistipes","Orchidaceae",,"8180","plants","Equisetopsida","Orchidaceae","(Schltr.) J.J.Sm.",
"Eria johnsonii","https://id.biodiversity.org.au/name/apni/91386","Eria johnsonii","Orchidaceae",,"39926","plants","Equisetopsida","Orchidaceae",,
"Sarcochilus platystachys","https://id.biodiversity.org.au/name/apni/63429","Sarcochilus platystachys","Orchidaceae",,"39910","plants","Equisetopsida","Orchidaceae",,
"Aponogeton bullosus","https://id.biodiversity.org.au/node/apni/2890583","Aponogeton bullosus","Aponogetonaceae",,"11218","plants","Equisetopsida","Aponogetonaceae","H.Bruggen",
"Corunastylis parvicalla","https://id.biodiversity.org.au/name/apni/178833","Corunastylis parvicalla","Orchidaceae",,"27539","plants","Equisetopsida","Orchidaceae","(Rupp) D.L.Jones & M.A.Clem.",
"Oberonia palmicola","https://id.biodiversity.org.au/name/apni/84679","Oberonia palmicola","Orchidaceae",,"4988","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Pachycephala olivacea","urn:lsid:biodiversity.org.au:afd.taxon:ee167180-6567-427c-aeee-08a34afe7557","Pachycephala (Timixos) olivacea","Pachycephalidae",,"1435","animals","birds","Pachycephalidae","Vigors & Horsfield, 1827","olive whistler"
"Cycas media subsp. banksii","https://id.biodiversity.org.au/node/apni/2898155","Cycas media subsp. banksii","Cycadaceae",,"5939","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Varanus semiremex","urn:lsid:biodiversity.org.au:afd.taxon:81244b7e-7145-42fe-b28c-3d672310e739","Varanus semiremex","Varanidae",,"70","animals","reptiles","Varanidae","Peters, 1869","rusty monitor"
"Apostasia wallichii","https://id.biodiversity.org.au/name/apni/97869","Apostasia wallichii","Orchidaceae",,"15686","plants","Equisetopsida","Orchidaceae","R.Br.",
"Pseudovanilla foliata","https://id.biodiversity.org.au/name/apni/87759","Pseudovanilla foliata","Orchidaceae",,"12689","plants","Equisetopsida","Orchidaceae","(F.Muell.) Garay","giant climbing orchid"
"Pterostylis obtusa","https://id.biodiversity.org.au/node/apni/2890523","Pterostylis bryophila","Orchidaceae",,"16346","plants","Equisetopsida","Orchidaceae","R.Br.",
"Phlegmariurus phlegmaria","https://id.biodiversity.org.au/node/apni/2913785","Phlegmariurus phlegmaria","Lycopodiaceae",,"34778","plants","Equisetopsida","Lycopodiaceae","(L.) T.Sen & U.Sen",
"Bulbophyllum windsorense","https://id.biodiversity.org.au/name/apni/117205","Bulbophyllum windsorense","Orchidaceae",,"9004","plants","Equisetopsida","Orchidaceae","B.Gray & D.L.Jones",
"Macrozamia lucida","https://id.biodiversity.org.au/node/apni/2899258","Macrozamia lucida","Zamiaceae",,"14429","plants","Equisetopsida","Zamiaceae","L.A.S.Johnson","pineapple zamia"
"Archontophoenix myolensis","https://id.biodiversity.org.au/node/apni/2893756","Archontophoenix myolensis","Arecaceae",,"6523","plants","Equisetopsida","Arecaceae","Dowe",
"Corybas abellianus","https://id.biodiversity.org.au/name/apni/81639","Corybas abellianus","Orchidaceae",,"13328","plants","Equisetopsida","Orchidaceae","Dockrill","nodding helmet orchid"
"Nannoperca oxleyana","urn:lsid:biodiversity.org.au:afd.taxon:82a68310-9784-48d6-8c9d-509aab09b301","Nannoperca oxleyana","Percichthyidae",,"18167","animals","ray-finned fishes","Percichthyidae","Whitley, 1940","Oxleyan pygmy perch"
"Thelymitra ixioides","https://id.biodiversity.org.au/name/apni/115549","Thelymitra ixioides","Orchidaceae",,"6207","plants","Equisetopsida","Orchidaceae","Sw.",
"Dendrobium tetragonum","https://id.biodiversity.org.au/name/apni/86712","Dendrobium tetragonum","Orchidaceae",,"12831","plants","Equisetopsida","Orchidaceae","A.Cunn.","tree spider orchid"
"Dendrobium aemulum","https://id.biodiversity.org.au/taxon/apni/51305018","Dendrobium aemulum","Orchidaceae",,"13280","plants","Equisetopsida","Orchidaceae","R.Br.","ironbark orchid"
"Gastrodia crebriflora","https://id.biodiversity.org.au/name/apni/117454","Gastrodia crebriflora","Orchidaceae",,"7948","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Uvidicolus sphyrurus","urn:lsid:biodiversity.org.au:afd.taxon:6406a15f-e067-4f14-a2be-ce4fe6bf6029","Uvidicolus sphyrurus","Carphodactylidae",,"398","animals","reptiles","Carphodactylidae","(Ogilby, 1892)","border thick-tailed gecko"
"Livistona lanuginosa","https://id.biodiversity.org.au/node/apni/2889724","Livistona lanuginosa","Arecaceae",,"2224","plants","Equisetopsida","Arecaceae","Rodd",
"Prasophyllum incompositum","https://id.biodiversity.org.au/name/apni/117507","Prasophyllum incompositum","Orchidaceae",,"7910","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Pterostylis vitrea","https://id.biodiversity.org.au/name/apni/218132","Pterostylis vitrea","Orchidaceae",,"32533","plants","Equisetopsida","Orchidaceae","(D.L.Jones) Bostock",
"Dendrobium schneiderae","https://id.biodiversity.org.au/name/apni/86348","Dendrobium schneiderae","Orchidaceae",,"19822","plants","Equisetopsida","Orchidaceae","F.M.Bailey",
"Acianthus saxatilis","https://id.biodiversity.org.au/name/apni/246823","Acianthus saxatilis","Orchidaceae",,"35341","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Diuris punctata var. punctata","https://id.biodiversity.org.au/name/apni/96378","Diuris punctata var. punctata","Orchidaceae",,"9445","plants","Equisetopsida","Orchidaceae","Sm.",
"Bulbophyllum purpurascens","https://id.biodiversity.org.au/name/apni/69695","Bulbophyllum purpurascens","Orchidaceae",,"39191","plants","Equisetopsida","Orchidaceae","Teijsm. & Binn.",
"Dendrobium","https://id.biodiversity.org.au/taxon/apni/51316786","Dendrobium","Orchidaceae",,"13286","plants","Equisetopsida","Orchidaceae",,
"Macrozamia longispina","https://id.biodiversity.org.au/node/apni/2891775","Macrozamia longispina","Zamiaceae",,"21873","plants","Equisetopsida","Zamiaceae","P.I.Forst. & D.L.Jones",
"Phyllurus amnicola","urn:lsid:biodiversity.org.au:afd.taxon:f128b274-c396-40da-8b3b-dac475e0308a","Phyllurus amnicola","Carphodactylidae",,"22412","animals","reptiles","Carphodactylidae","Hoskin, Couper, Schneider & Covacevich 2000","Mount Elliot broad-tailed gecko"
"Hymenophyllum digitatum","https://id.biodiversity.org.au/node/apni/2920480","Hymenophyllum digitatum","Hymenophyllaceae",,"29896","plants","Equisetopsida","Hymenophyllaceae","(Sw.) Fosberg",
"Prasophyllum exilis","https://id.biodiversity.org.au/name/apni/9851171","Prasophyllum exilis","Orchidaceae",,"7909","plants","Equisetopsida","Orchidaceae","D.L.Jones & R.J.Bates",
"Cleisostoma congestum","https://id.biodiversity.org.au/name/apni/71235","Cleisostoma congestum","Orchidaceae",,"39929","plants","Equisetopsida","Orchidaceae",,
"Dipodium elegantulum","https://id.biodiversity.org.au/name/apni/117420","Dipodium elegantulum","Orchidaceae",,"8446","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Pterostylis sp. (Mt Maroon J.R.Clarkson+ 1114)","https://id.biodiversity.org.au/name/apni/232219","Pterostylis sp. Mt Maroon (J.R.Clarkson+ 1114)","Orchidaceae",,"6688","plants","Equisetopsida","Orchidaceae",,
"Pomatocalpa","https://id.biodiversity.org.au/node/apni/2888839","Pomatocalpa","Orchidaceae",,"21333","plants","Equisetopsida","Orchidaceae",,
"Nepenthes tenax","https://id.biodiversity.org.au/node/apni/2903162","Nepenthes tenax","Nepenthaceae",,"31114","plants","Equisetopsida","Nepenthaceae","C.Clarke & R.Kruger",
"Habenaria elongata","https://id.biodiversity.org.au/name/apni/106145","Habenaria elongata","Orchidaceae",,"12812","plants","Equisetopsida","Orchidaceae","R.Br.",
"Caladenia filamentosa var. filamentosa","https://id.biodiversity.org.au/name/apni/91366","Caladenia filamentosa var. filamentosa","Orchidaceae",,"13445","plants","Equisetopsida","Orchidaceae","R.Br.","daddy long legs"
"Grammitis leonardii","https://id.biodiversity.org.au/node/apni/2899773","Oreogrammitis leonardii","Grammitidaceae",,"21841","plants","Equisetopsida","Polypodiaceae","Parris",
"Litoria subglandulosa","urn:lsid:biodiversity.org.au:afd.taxon:1665fe2a-1f73-4563-92d8-c21a4c1ed80b","Litoria subglandulosa","Hylidae",,"587","animals","amphibians","Hylidae","Tyler & Anstis, 1975","New England treefrog"
"Aponogeton elongatus subsp. elongatus","https://id.biodiversity.org.au/node/apni/2919039","Aponogeton elongatus subsp. elongatus","Aponogetonaceae",,"21902","plants","Equisetopsida","Aponogetonaceae","F.Muell. ex Benth.",
"Arthrochilus corinnae","https://id.biodiversity.org.au/name/apni/189014","Arthrochilus corinnae","Orchidaceae",,"30807","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Elseya irwini","urn:lsid:biodiversity.org.au:afd.taxon:00a639e3-ddd3-4273-b8a2-d966e52a33aa","Elseya (Pelocomastes) irwini","Chelidae",,"18454","animals","reptiles","Chelidae","Cann, 1997","Irwin's turtle"
"Cycas media - Cycas platyphylla","ALA_Cycas_media_Cycas_platyphylla","Cycas media - Cycas platyphylla",,,"8337","plants","Equisetopsida","Cycadaceae",,
"Pterostylis erecta","https://id.biodiversity.org.au/name/apni/74562","Pterostylis erecta","Orchidaceae",,"12693","plants","Equisetopsida","Orchidaceae","T.E.Hunt",
"Bromheadia pulchra","https://id.biodiversity.org.au/name/apni/67633","Bromheadia pulchra","Orchidaceae",,"5601","plants","Equisetopsida","Orchidaceae","Schltr.",
"Habenaria xanthantha","https://id.biodiversity.org.au/name/apni/106721","Habenaria xanthantha","Orchidaceae",,"12816","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Crepidium flavovirens","https://id.biodiversity.org.au/name/apni/219643","Crepidium flavovirens","Orchidaceae",,"18489","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Nepenthes mirabilis","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"16622","plants","Equisetopsida","Nepenthaceae","(Lour.) Druce","tropical pitcher plant"
"Taeniophyllum clementsii","https://id.biodiversity.org.au/name/apni/246296","Taeniophyllum clementsii","Orchidaceae",,"36103","plants","Equisetopsida","Orchidaceae","(D.L.Jones & B.Gray) Kocyan & Schuit.",
"Polyphlebium endlicherianum","https://id.biodiversity.org.au/node/apni/7411678","Polyphlebium endlicherianum","Hymenophyllaceae",,"33350","plants","Equisetopsida","Hymenophyllaceae","(C.Presl) Ebihara & K.Iwats.",
"Erythrorchis cassythoides","https://id.biodiversity.org.au/name/apni/75877","Erythrorchis cassythoides","Orchidaceae",,"17287","plants","Equisetopsida","Orchidaceae","(A.Cunn.) Garay","climbing orchid"
"Corunastylis valida","https://id.biodiversity.org.au/name/apni/178842","Corunastylis valida","Orchidaceae",,"27547","plants","Equisetopsida","Orchidaceae","(D.L.Jones) D.L.Jones & M.A.Clem.",
"Cyathea felina","https://id.biodiversity.org.au/node/apni/2897879","Cyathea felina","Cyatheaceae",,"14651","plants","Equisetopsida","Cyatheaceae","(Roxb.) C.V.Morton",
"Cycas couttsiana","https://id.biodiversity.org.au/node/apni/2904810","Cycas couttsiana","Cycadaceae",,"8439","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Amytornis ballarae","urn:lsid:biodiversity.org.au:afd.taxon:85ac6948-fcfe-45a6-bfb1-33380ecaa2e4","Amytornis (Amytornis) ballarae","Maluridae",,"1566","animals","birds","Maluridae","(Mathews, 1914)","Kalkadoon grasswren"
"Chlamydogobius micropterus","urn:lsid:biodiversity.org.au:afd.taxon:ccae67ed-5ce5-4767-8b3e-c0243d615c92","Chlamydogobius micropterus","Gobiidae",,"18163","animals","ray-finned fishes","Gobiidae","Larson, 1995","Elizabeth Springs goby"
"Dendrobium jonesii","https://id.biodiversity.org.au/name/apni/85765","Dendrobium jonesii","Orchidaceae",,"6405","plants","Equisetopsida","Orchidaceae","Rendle",
"Dendrobium nindii","https://id.biodiversity.org.au/node/apni/2913587","Durabaculum nindii","Orchidaceae",,"12837","plants","Equisetopsida","Orchidaceae","W.Hill","blue orchid"
"Pterostylis nutans","https://id.biodiversity.org.au/name/apni/75055","Pterostylis nutans","Orchidaceae",,"9321","plants","Equisetopsida","Orchidaceae","R.Br.",
"Dendrobium prenticei","https://id.biodiversity.org.au/name/apni/231359","Dendrobium prenticei","Orchidaceae",,"8172","plants","Equisetopsida","Orchidaceae","(F.Muell.) Nicholls",
"Pterostylis baptistii","https://id.biodiversity.org.au/name/apni/74161","Pterostylis baptistii","Orchidaceae",,"16345","plants","Equisetopsida","Orchidaceae","Fitzg.","king greenhood"
"Cycas yorkiana","https://id.biodiversity.org.au/node/apni/2896971","Cycas yorkiana","Cycadaceae",,"5938","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Cycas media subsp. ensata","https://id.biodiversity.org.au/node/apni/2904417","Cycas media subsp. ensata","Cycadaceae",,"5935","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Arthrochilus stenophyllus","https://id.biodiversity.org.au/name/apni/118297","Arthrochilus stenophyllus","Orchidaceae",,"7935","plants","Equisetopsida","Orchidaceae","D.L.Jones",
