"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Prasophyllum flavum","https://id.biodiversity.org.au/name/apni/104583","Prasophyllum flavum","Orchidaceae",,"8895","plants","Equisetopsida","Orchidaceae","R.Br.","yellow leek orchid"
"Nepenthes albolineata","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"40154","plants","Equisetopsida","Nepenthaceae",,
"Dendrobium tofftii","https://id.biodiversity.org.au/node/apni/2913587","Durabaculum nindii","Orchidaceae",,"39951","plants","Equisetopsida","Orchidaceae",,
"Cadetia collinsii","https://id.biodiversity.org.au/name/apni/89502","Cadetia collinsii","Orchidaceae",,"9697","plants","Equisetopsida","Orchidaceae","Lavarack",
"Bulbophyllum gadgarrense","https://id.biodiversity.org.au/name/apni/69525","Bulbophyllum gadgarrense","Orchidaceae",,"13485","plants","Equisetopsida","Orchidaceae","Rupp",
"Dendrobium stratiotes","https://id.biodiversity.org.au/name/apni/175639","Dendrobium stratiotes","Orchidaceae",,"37193","plants","Equisetopsida","Orchidaceae","Rchb.f.",
"Cadetia maideniana","https://id.biodiversity.org.au/name/apni/89513","Cadetia maideniana","Orchidaceae",,"13492","plants","Equisetopsida","Orchidaceae","(Schltr.) Schltr.",
"Glaphyromorphus clandestinus","urn:lsid:biodiversity.org.au:afd.taxon:8119d6dd-c16a-418b-971b-f41de855ba36","Glaphyromorphus clandestinus","Scincidae",,"29318","animals","reptiles","Scincidae","Hoskin & Couper, 2004","Mt Elliot skink"
"Cymbidium canaliculatum","https://id.biodiversity.org.au/name/apni/93196","Cymbidium canaliculatum","Orchidaceae",,"17505","plants","Equisetopsida","Orchidaceae","R.Br.",
"Macrozamia macleayi","https://id.biodiversity.org.au/node/apni/2917359","Macrozamia macleayi","Zamiaceae",,"22414","plants","Equisetopsida","Zamiaceae","Miq.",
"Salacistis ochroleuca","https://id.biodiversity.org.au/name/apni/189062","Salacistis ochroleuca","Orchidaceae",,"35326","plants","Equisetopsida","Orchidaceae","(F.M.Bailey) M.A.Clem. & D.L.Jones",
"Thelymitra","https://id.biodiversity.org.au/taxon/apni/51291032","Thelymitra","Orchidaceae",,"13082","plants","Equisetopsida","Orchidaceae",,
"Taeniophyllum epacridicola","https://id.biodiversity.org.au/taxon/apni/51291020","Taeniophyllum epacridicola","Orchidaceae",,"36337","plants","Equisetopsida","Orchidaceae","B.Gray",
"Habenaria propinquior","https://id.biodiversity.org.au/name/apni/106625","Habenaria propinquior","Orchidaceae",,"9015","plants","Equisetopsida","Orchidaceae","Rchb.f.",
"Diuris","https://id.biodiversity.org.au/taxon/apni/51290527","Diuris","Orchidaceae",,"12798","plants","Equisetopsida","Orchidaceae",,
"Euastacus maidae","urn:lsid:biodiversity.org.au:afd.taxon:dce26d8c-b9a0-4937-8fc1-538a0b07f740","Euastacus maidae","Parastacidae",,"33595","animals","malacostracans","Parastacidae","(Riek, 1956)",
"Sarcochilus borealis","https://id.biodiversity.org.au/name/apni/62743","Sarcochilus borealis","Orchidaceae",,"7914","plants","Equisetopsida","Orchidaceae","(Nicholls) M.A.Clem. & D.L.Jones",
"Malaxis fimbriatum","https://id.biodiversity.org.au/name/apni/58547","Malaxis fimbriata","Orchidaceae",,"39915","plants","Equisetopsida","Orchidaceae",,
"Caladenia alata","https://id.biodiversity.org.au/name/apni/90556","Caladenia alata","Orchidaceae",,"13494","plants","Equisetopsida","Orchidaceae","R.Br.","fairy orchid"
"Amytornis barbatus diamantina","urn:lsid:biodiversity.org.au:afd.taxon:278e3761-ad9c-4e6f-a55a-1b13e65103d8","Amytornis (Maluropsis) barbatus diamantina","Maluridae",,"29886","animals","birds","Maluridae","Schodde & Christidis, 1987","grey grasswren (Lake Eyre basin)"
"Paracaleana minor","https://id.biodiversity.org.au/name/apni/95930","Paracaleana minor","Orchidaceae",,"4992","plants","Equisetopsida","Orchidaceae","(R.Br.) Blaxell",
"Grastidium luteocilium","https://id.biodiversity.org.au/name/apni/60241","Grastidium luteocilium","Orchidaceae",,"19450","plants","Equisetopsida","Orchidaceae","(Rupp) Rauschert",
"Pterostylis borealis","https://id.biodiversity.org.au/taxon/apni/51290628","Pterostylis borealis","Orchidaceae",,"36221","plants","Equisetopsida","Orchidaceae","(D.L.Jones) D.L.Jones",
"Bulbophyllum elisae","https://id.biodiversity.org.au/name/apni/69491","Bulbophyllum elisae","Orchidaceae",,"13483","plants","Equisetopsida","Orchidaceae","(F.Muell.) Benth.","pineapple orchid"
"Microtis unifolia","https://id.biodiversity.org.au/name/apni/74195","Microtis unifolia","Orchidaceae",,"14403","plants","Equisetopsida","Orchidaceae","(G.Forst.) Rchb.f.","common onion orchid"
"Hoplocephalus stephensii","urn:lsid:biodiversity.org.au:afd.taxon:807cfb97-9586-453a-911d-d7eee093cf17","Hoplocephalus stephensii","Elapidae",,"481","animals","reptiles","Elapidae","Krefft, 1869","Stephens' banded snake"
"Peristeranthus","https://id.biodiversity.org.au/node/apni/2915478","Peristeranthus","Orchidaceae",,"21252","plants","Equisetopsida","Orchidaceae",,
"Zeuxine attenuata","https://id.biodiversity.org.au/name/apni/98472","Zeuxine attenuata","Orchidaceae",,"40091","plants","Equisetopsida","Orchidaceae",,
"Corunastylis alticola","https://id.biodiversity.org.au/name/apni/178816","Corunastylis alticola","Orchidaceae",,"27532","plants","Equisetopsida","Orchidaceae","(D.L.Jones & B.Gray) D.L.Jones & M.A.Clem.",
"Spathoglottis paulinae","https://id.biodiversity.org.au/name/apni/69358","Spathoglottis paulinae","Orchidaceae",,"12668","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Appendicula reflexa","https://id.biodiversity.org.au/name/apni/122657","Appendicula reflexa","Orchidaceae",,"12631","plants","Equisetopsida","Orchidaceae","Blume",
"Nepenthes armbrustae","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"40147","plants","Equisetopsida","Nepenthaceae",,
"Pterostylis praetermissa","https://id.biodiversity.org.au/name/apni/75322","Pterostylis praetermissa","Orchidaceae",,"7912","plants","Equisetopsida","Orchidaceae","M.A.Clem. & D.L.Jones",
