"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Hebe arganthera Garn.-Jones, Bayly, W.G.Lee & Rance","NZOR-6-50859","Veronica arganthera","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Pittosporum obcordatum Raoul","NZOR-6-92991","Pittosporum obcordatum","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Suttonia coxii Cockayne","NZOR-6-36252","Myrsine coxii","Primulaceae",,"Primulaceae","Myrsine","Ericales","species","Magnoliopsida"
"Gentianella calcis Glenny & Molloy subsp. calcis","NZOR-6-2888","Gentianella calcis subsp. calcis","Gentianaceae",,"Gentianaceae","Gentianella","Gentianales","subspecies","Magnoliopsida"
"Geranium sessiliflorum subsp. novaezelandiae var. arenarium (G.Simpson & J.S.Thomson) Carolin","NZOR-6-75703","Geranium sessiliflorum var. arenarium","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","variety","Magnoliopsida"
"Ranunculus trilobatus Kirk","NZOR-6-86806","Ranunculus ternatifolius","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Achras costata Endl.","https://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Pomaderris tainui Hector","https://id.biodiversity.org.au/node/apni/2895650","Pomaderris apetala","Rhamnaceae",,"Rhamnaceae","Pomaderris","Rosales","species","Magnoliopsida"
"Clianthus puniceus (G.Don) Sol. ex Lindl. var. puniceus","NZOR-6-68402","Clianthus puniceus","Fabaceae",,"Leguminosae","Clianthus","Fabales","variety","Magnoliopsida"
"Alectryon grandis (Cheeseman) Cheeseman","NZOR-6-36770","Alectryon excelsus subsp. grandis","Sapindaceae",,"Sapindaceae","Alectryon","Sapindales","species","Magnoliopsida"
"Elytranthe adamsii (Cheeseman) Engl.","NZOR-6-50555","Trilepidea adamsii","Loranthaceae",,"Loranthaceae","Trilepidea","Santalales","species","Magnoliopsida"
"Banksia tomentosa J.R.Forst. & G.Forst.","https://id.biodiversity.org.au/name/apni/109336","Banksia tomentosa","Proteaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Hypericum rubicundulum Heenan","NZOR-6-52890","Hypericum rubicundulum","Hypericaceae",,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
"Pterostylis tasmanica D.L.Jones","https://id.biodiversity.org.au/taxon/apni/51316831","Pterostylis tasmanica","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Plagianthus regius subsp. chathamicus (Cockayne) de Lange","NZOR-6-12021","Plagianthus regius subsp. chathamicus","Malvaceae",,"Malvaceae","Plagianthus","Malvales","subspecies","Magnoliopsida"
"Achras novozelandica F. Muell.","https://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Myosotis matthewsii L.B.Moore","NZOR-6-123988","Myosotis matthewsii","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Gingidia dieffenbachii F.Muell.","NZOR-6-104538","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. matau var. lobulatum Thell.","NZOR-6-42151","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Gentianella calcis subsp. waipara Glenny & Molloy","NZOR-6-75730","Gentianella calcis subsp. waipara","Gentianaceae",,"Gentianaceae","Gentianella","Gentianales","subspecies","Magnoliopsida"
"Cortaderia turbaria Connor","NZOR-6-42639","Austroderia turbaria","Poaceae",,"Gramineae","Austroderia","Poales","species","Magnoliopsida"
"Lepidium australe Kirk","NZOR-6-65925","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Carmichaelia crassicaulis subsp. racemosa (Kirk) Heenan","NZOR-6-37641","Carmichaelia crassicaulis subsp. racemosa","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","subspecies","Magnoliopsida"
"Myosotis colensoi (Kirk) J.F.Macbr.","NZOR-6-17965","Myosotis colensoi","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Swainsona novae-zelandiae Hook.f. var. novae-zelandiae","NZOR-6-125954","Montigena novae-zelandiae","Leguminosae",,"Leguminosae","Montigena","Fabales","variety","Magnoliopsida"
"Acaena depressa Kirk","NZOR-6-22527","Acaena buchananii","Rosaceae",,"Rosaceae","Acaena","Rosales","species","Magnoliopsida"
"Carmichaelia uniflora Kirk var. uniflora","NZOR-6-99973","Carmichaelia uniflora","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Loranthus polychroa Colenso","NZOR-6-83652","Alepis flavida","Loranthaceae",,"Loranthaceae","Alepis","Santalales","species","Magnoliopsida"
"Scirpus carsei Kük.","https://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Brachyglottis rotundifolia var. ambigua (Cheeseman) B.Nord.","NZOR-6-95288","Brachyglottis rotundifolia var. ambigua","Asteraceae",,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Carmichaelia uniflora Buchanan","NZOR-6-99973","Carmichaelia uniflora","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. kawarau (Petrie) Thell.","NZOR-6-81408","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","subspecies","Magnoliopsida"
"Dichelachne micrantha (Cav.) Domin","https://id.biodiversity.org.au/node/apni/2909052","Dichelachne micrantha","Poaceae",,"Gramineae","Dichelachne","Poales","species","Magnoliopsida"
"Carex tenuiculmis (Petrie) Heenan & de Lange","NZOR-6-11913","Carex tenuiculmis","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Uncinia rigida sensu Petrie","ALA_Uncinia_rigida_sensu_Petrie","Uncinia rigida sensu Petrie","Cyperaceae",,"Cyperaceae","Uncinia","Poales","species","Magnoliopsida"
"Myosotis australis var. lytteltonensis Laing & A.Wall","NZOR-6-110224","Myosotis australis var. lytteltonensis","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Pittosporum kirkii Hook.f. ex Kirk","NZOR-6-92138","Pittosporum kirkii","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Deyeuxia lacustris Edgar & Connor","NZOR-6-70838","Deyeuxia lacustris","Poaceae",,"Gramineae","Deyeuxia","Poales","species","Magnoliopsida"
"Gunnera hamiltonii Kirk","NZOR-6-131143","Gunnera hamiltonii","Gunneraceae",,"Gunneraceae","Gunnera","Gunnerales","species","Magnoliopsida"
"Pittosporum patulum Hook.f.","NZOR-6-116707","Pittosporum patulum","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","species","Magnoliopsida"
"Olearia lineata (Kirk) Cockayne","NZOR-6-50163","Olearia lineata","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Pterostylis micromega Hook.f.","https://id.biodiversity.org.au/name/apni/176759","Pterostylis micromega","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Clianthus puniceus var. maximus (Colenso) Kirk","NZOR-6-106155","Clianthus maximus","Fabaceae",,"Leguminosae","Clianthus","Fabales","variety","Magnoliopsida"
"Arthropodium bifurcatum Heenan, A.D.Mitch. & de Lange","https://id.biodiversity.org.au/name/apni/189566","Arthropodium bifurcatum","Asparagaceae",,"Asparagaceae","Arthropodium","Asparagales","species","Magnoliopsida"
"Alectryon excelsus subsp. grandis (Cheeseman) de Lange & E.K.Cameron","NZOR-6-36770","Alectryon excelsus subsp. grandis","Sapindaceae",,"Sapindaceae","Alectryon","Sapindales","subspecies","Magnoliopsida"
"Melicytus crassifolius (Hook.f.) Garn.-Jones","NZOR-6-66140","Melicytus crassifolius","Violaceae",,"Violaceae","Melicytus","Malpighiales","species","Magnoliopsida"
"Dactylanthus taylorii Hook.f.","NZOR-6-12433","Dactylanthus taylorii","Mystropetalaceae",,"Balanophoraceae","Dactylanthus","Santalales","species","Magnoliopsida"
"Paratrophis banksii Cheeseman","NZOR-6-95729","Streblus banksii","Moraceae",,"Moraceae","Streblus","Rosales","species","Magnoliopsida"
"Clematis marmoraria Sneddon","NZOR-6-33403","Clematis marmoraria","Ranunculaceae",,"Ranunculaceae","Clematis","Ranunculales","species","Magnoliopsida"
"Poa uniflora Buchanan","NZOR-6-117430","Simplicia buchananii","Poaceae",,"Gramineae","Simplicia","Poales","species","Magnoliopsida"
"Carex rubicunda Petrie","NZOR-6-57743","Carex rubicunda","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Teucridium parvifolium Hook.f.","NZOR-6-133976","Teucridium parvifolium","Labiatae",,"Labiatae","Teucridium","Lamiales","species","Magnoliopsida"
"Todea barbara (L.) T.Moore","https://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Osmundaceae","Todea","Osmundales","species","Polypodiopsida"
"Aciphylla dieffenbachii (F.Muell.) Kirk","NZOR-6-104538","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Lepidium seditiosum de Lange, Heenan & J.Rolfe","NZOR-6-110703","Lepidium seditiosum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Muehlenbeckia ephedroides Hook.f.","NZOR-6-56388","Muehlenbeckia ephedroides","Polygonaceae",,"Polygonaceae","Muehlenbeckia","Caryophyllales","species","Magnoliopsida"
"Crassula manaia A.P.Druce & Sykes","NZOR-6-55032","Crassula manaia","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Pimelea longifolia Sol. ex Wikstr.","NZOR-6-21951","Pimelea longifolia","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Davallia puketi T.Shaw","NZOR-6-96483","Davallia tasmanii subsp. cristata","Davalliaceae",,"Davalliaceae","Davallia","Polypodiales","species","Polypodiopsida"
"Ranunculus crithmifolius subsp. paucifolius (Kirk) F.J.F.Fisher","NZOR-6-65","Ranunculus paucifolius","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","subspecies","Magnoliopsida"
"Hebe salicornioides (Hook.f.) Cockayne & Allan","NZOR-6-28819","Veronica salicornioides","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Uncinia auceps de Lange & Heenan","NZOR-6-86788","Carex auceps","Cyperaceae",,"Cyperaceae","Uncinia","Poales","species","Magnoliopsida"
"Atriplex cinerea Poir.","https://id.biodiversity.org.au/node/apni/2903932","Atriplex cinerea","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Pteris seticaulis Hook.","https://id.biodiversity.org.au/node/apni/2915450","Pellaea falcata","Pteridaceae",,"Pteridaceae","Pellaea","Polypodiales","species","Polypodiopsida"
"Paspalum orbiculare G.Forst.","https://id.biodiversity.org.au/node/apni/2897755","Paspalum scrobiculatum","Poaceae",,"Gramineae","Paspalum","Poales","species","Magnoliopsida"
"Carex litorosa L.H.Bailey","NZOR-6-17098","Carex litorosa","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Leptinella featherstonii F.Muell.","NZOR-6-68370","Leptinella featherstonii","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Olearia hectorii Hook.f.","NZOR-6-99114","Olearia hectorii","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Brachyglottis kirkii (Kirk) C.J.Webb var. kirkii","NZOR-6-96174","Brachyglottis kirkii (Hook.f. ex Kirk) C.J.Webb var. kirkii","Asteraceae",,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Hebe adamsii (Cheeseman) Cockayne & Allan","NZOR-6-41294","Veronica adamsii","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Spiranthes australis sensu Hook.f.","https://id.biodiversity.org.au/name/apni/236946","Spiranthes novae-zelandiae","Orchidaceae",,"Orchidaceae","Spiranthes","Asparagales","species","Magnoliopsida"
"Myosotis pygmaea var. glauca G.Simpson & J.S.Thomson","NZOR-6-93411","Myosotis pygmaea var. glauca","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Swainsona novae-zelandiae var. glabra G.Simpson","NZOR-6-125954","Montigena novae-zelandiae","Leguminosae",,"Leguminosae","Montigena","Fabales","variety","Magnoliopsida"
"Paracaleana minor (R.Br.) Blaxell","https://id.biodiversity.org.au/name/apni/95930","Paracaleana minor","Orchidaceae",,"Orchidaceae","Paracaleana","Asparagales","species","Magnoliopsida"
"Myriophyllum robustum Hook.f.","NZOR-6-106154","Myriophyllum robustum","Haloragaceae",,"Haloragaceae","Myriophyllum","Saxifragales","species","Magnoliopsida"
"Dichelachne rigida Steud.","NZOR-6-34044","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Solanum aviculare G.Forst. var. aviculare","https://id.biodiversity.org.au/node/apni/2900613","Solanum aviculare","Solanaceae",,"Solanaceae","Solanum","Solanales","variety","Magnoliopsida"
"Viscum pubigerum A.Cunn.","https://id.biodiversity.org.au/name/apni/147610","Tupeia antarctica","Loranthaceae",,"Loranthaceae","Tupeia","Santalales","species","Magnoliopsida"
"Carmichaelia orbiculata Colenso","NZOR-6-75","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Geranium solanderi Carolin","https://id.biodiversity.org.au/node/apni/7387836","Geranium solanderi","Geraniaceae",,"Geraniaceae","Geranium","Geraniales","species","Magnoliopsida"
"Brachyglottis turneri (Cheeseman) C.J.Webb","NZOR-6-74536","Brachyglottis turneri","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Scandia rosifolia (Hook.f.) J.W.Dawson","NZOR-6-10427","Scandia rosifolia","Umbelliferae",,"Umbelliferae","Scandia","Apiales","species","Magnoliopsida"
"Lobelia fugax Heenan, Courtney & P.N.Johnson","NZOR-6-51373","Lobelia fugax","Campanulaceae",,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
"Lepidium kawarau Petrie","NZOR-6-81408","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Sonchus oleraceus var. littoralis Kirk","NZOR-6-3088","Sonchus kirkii","Asteraceae",,"Compositae","Sonchus","Asterales","variety","Magnoliopsida"
"Melicytus flexuosus Molloy & A.P.Druce","NZOR-6-45496","Melicytus flexuosus","Violaceae",,"Violaceae","Melicytus","Malpighiales","species","Magnoliopsida"
"Isolepis novae-zealandiae Colenso","NZOR-6-65463","Isolepis basilaris","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Aciphylla acutifolia Cockayne","NZOR-6-93269","Anisotome acutifolia","Apiaceae",,"Umbelliferae","Anisotome","Apiales","species","Magnoliopsida"
"Lycopodium serpentinum Kunze","https://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Lycopodiaceae","Lycopodiella","Lycopodiales","species","Lycopodiopsida"
"Hibiscus diversifolius Jacq. subsp. diversifolius","https://id.biodiversity.org.au/name/apni/9417089","Hibiscus diversifolius subsp. diversifolius","Malvaceae",,"Malvaceae","Hibiscus","Malvales","subspecies","Magnoliopsida"
"Carex petriei var. rubicunda (Petrie) Kük.","NZOR-6-57743","Carex rubicunda","Cyperaceae",,"Cyperaceae","Carex","Poales","variety","Magnoliopsida"
"Lepidium oleraceum var. acutidentatum Kirk","NZOR-6-41994","Lepidium oleraceum var. acutidentatum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Calochilus campestris sensu Hatch","https://id.biodiversity.org.au/name/apni/99032","Calochilus herbaceus","Orchidaceae",,"Orchidaceae","Calochilus","Asparagales","species","Magnoliopsida"
"Paratrophis heterophylla var. elliptica Kirk","NZOR-6-95729","Streblus banksii","Moraceae",,"Moraceae","Streblus","Rosales","variety","Magnoliopsida"
"Agrostis procera A.Rich.","https://id.biodiversity.org.au/node/apni/2905641","Eriochloa procera","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. kawarau var. dubium (Kirk) Thell.","NZOR-6-81408","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Myosotis lytteltonensis (Laing & A.Wall) de Lange","NZOR-6-3896","Myosotis lytteltonensis","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Lepidium aegrum Heenan & de Lange","NZOR-6-44648","Lepidium aegrum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Linum monogynum var. chathamicum Cockayne","NZOR-6-40420","Linum monogynum var. chathamicum","Linaceae",,"Linaceae","Linum","Malpighiales","variety","Magnoliopsida"
"Alepis flavida (Hook.f.) Tiegh.","NZOR-6-83652","Alepis flavida","Loranthaceae",,"Loranthaceae","Alepis","Santalales","species","Magnoliopsida"
"Isolepis curvula (Nees) Kunth","https://id.biodiversity.org.au/node/apni/2897656","Isolepis fluitans","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Tillaea purpurata Hook.f.","https://id.biodiversity.org.au/node/apni/2895654","Crassula peduncularis","Crassulaceae",,"Crassulaceae","Crassula","Saxifragales","species","Magnoliopsida"
"Pseudowintera insperata Heenan & de Lange","NZOR-6-9765","Pseudowintera insperata","Winteraceae",,"Winteraceae","Pseudowintera","Canellales","species","Magnoliopsida"
"Sticherus urceolatus M.Garrett & Kantvilas","https://id.biodiversity.org.au/node/apni/2918259","Sticherus urceolatus","Gleicheniaceae",,"Gleicheniaceae","Sticherus","Gleicheniales","species","Polypodiopsida"
"Ranunculus ternatifolius Kirk","NZOR-6-86806","Ranunculus ternatifolius","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Baumea complanata (Berggr.) S.T.Blake","NZOR-6-36582","Machaerina complanata","Cyperaceae",,"Cyperaceae","Machaerina","Poales","species","Magnoliopsida"
"Simplicia laxa Kirk var. laxa","NZOR-6-56449","Simplicia laxa","Poaceae",,"Gramineae","Simplicia","Poales","variety","Magnoliopsida"
"Rytidosperma merum Connor & Edgar","https://id.biodiversity.org.au/name/apni/220441","Rytidosperma merum","Poaceae",,"Gramineae","Rytidosperma","Poales","species","Magnoliopsida"
"Pimelea dichotoma Colenso","https://id.biodiversity.org.au/node/apni/2901235","Pimelea flava subsp. dichotoma","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Ranunculus viridis H.D.Wilson & Garn.-Jones","NZOR-6-126982","Ranunculus viridis","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Nasturtium oleraceum Kuntze","NZOR-6-2856","Lepidium oleraceum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Ophioglossum pedunculosum sensu Cheeseman","ALA_Ophioglossum_pedunculosum_sensu_Cheeseman","Ophioglossum pedunculosum sensu Cheeseman",,,"Ophioglossaceae","Ophioglossum","Ophioglossales","species","Psilotopsida"
"Carmichaelia enysii var. orbiculata (Colenso) Kirk","NZOR-6-75","Carmichaelia nana","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Cotula renwickii Cockayne","NZOR-6-68370","Leptinella featherstonii","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Myosotis mooreana C.A.Lehnebach","NZOR-6-135965","Myosotis mooreana","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Myrsine coxii Cockayne","NZOR-6-36252","Myrsine coxii","Primulaceae",,"Primulaceae","Myrsine","Ericales","species","Magnoliopsida"
"Pimelea aridula Cheeseman subsp. aridula","NZOR-6-51139","Pimelea aridula subsp. aridula","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Brachyscome pinnata Hook.f.","NZOR-6-14098","Brachyscome pinnata","Asteraceae",,"Compositae","Brachyscome","Asterales","species","Magnoliopsida"
"Carmichaelia kirkii Hook.f.","NZOR-6-17937","Carmichaelia kirkii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Olearia virgata var. lineata Kirk","NZOR-6-50163","Olearia lineata","Asteraceae",,"Compositae","Olearia","Asterales","variety","Magnoliopsida"
"Arundo triodioides Trin.","https://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Hypsela rivalis E.Wimm.","https://id.biodiversity.org.au/name/apni/194119","Hypsela rivalis","Campanulaceae",,"Campanulaceae","Lobelia","Asterales","species","Magnoliopsida"
