"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Cyclosorus gongylodes sensu Dobbie","ALA_Cyclosorus_gongylodes_sensu_Dobbie","Cyclosorus gongylodes sensu Dobbie",,,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Simplicia buchananii (Zotov) Zotov","NZOR-6-117430","Simplicia buchananii","Poaceae",,"Gramineae","Simplicia","Poales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. solandri (Kirk) Thell.","NZOR-6-42151","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","subspecies","Magnoliopsida"
"Scirpus basilaris (Hook.f.) C.B.Clarke","NZOR-6-65463","Isolepis basilaris","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Embergeria grandifolia (Kirk) Boulos","NZOR-6-136274","Sonchus grandifolius","Asteraceae",,"Compositae","Embergeria","Asterales","species","Magnoliopsida"
"Hypericum involutum (Labill.) Choisy","https://id.biodiversity.org.au/node/apni/2888539","Hypericum gramineum","Hypericaceae",,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
"Atriplex chrystallina Hook.f.","https://id.biodiversity.org.au/node/apni/2916905","Atriplex billardierei","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Myrsine umbricola Heenan & de Lange","NZOR-6-60971","Myrsine umbricola","Primulaceae",,"Primulaceae","Myrsine","Ericales","species","Magnoliopsida"
"Carex albula Allan","https://id.biodiversity.org.au/instance/apni/764400","Carex albula","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Acaena buchananii var. picta Allan","NZOR-6-22527","Acaena buchananii","Rosaceae",,"Rosaceae","Acaena","Rosales","variety","Magnoliopsida"
"Astelia nervosa var. chathamica Skottsb.","NZOR-6-3163","Astelia chathamica","Asteliaceae",,"Asteliaceae","Astelia","Asparagales","variety","Magnoliopsida"
