"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Grammitis stenophylla B.S. Parris ","https://id.biodiversity.org.au/node/apni/2894545","Grammitis stenophylla","Polypodiaceae",,"Narrow-leaf Finger Fern","Grammitaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Philoria pughi","urn:lsid:biodiversity.org.au:afd.taxon:1f800926-6b4c-4e7c-802d-65cc9edfb368","Philoria pughi","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Pterostylis saxicola D. L. Jones & M. A. Clem. ","https://id.biodiversity.org.au/node/apni/2900065","Pterostylis saxicola","Orchidaceae",,"Sydney Plains Greenhood","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum canaliculatum D.L. Jones","https://id.biodiversity.org.au/name/apni/161543","Prasophyllum canaliculatum","Orchidaceae",,"Summer Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Caladenia concolor Fitzg. ","https://id.biodiversity.org.au/node/apni/2916278","Caladenia concolor","Orchidaceae",,"Crimson Spider Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris sp. (Oaklands, D.L. Jones 5380) ","ALA_Diuris_sp_Oaklands_D_L_Jones_5380","Diuris sp. (Oaklands, D.L. Jones 5380)",,,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris bracteata Fitzg.","https://id.biodiversity.org.au/name/apni/78804","Diuris bracteata","Orchidaceae",,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Zieria adenophora Blakely","https://id.biodiversity.org.au/node/apni/2905804","Zieria adenophora","Rutaceae",,,"Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Sarcochilus fitzgeraldii F. Muell. ","https://id.biodiversity.org.au/node/apni/2901615","Sarcochilus fitzgeraldii","Orchidaceae",,"Ravine Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pterostylis oreophila Clemesha","https://id.biodiversity.org.au/name/apni/75185","Pterostylis oreophila","Orchidaceae",,"Blue-tongued Greenhood","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Diploglottis campbellii Cheel ","https://id.biodiversity.org.au/node/apni/2906814","Diploglottis campbellii","Sapindaceae",,"Small-leaved Tamarind","Sapindaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Zieria parrisiae J.D.Briggs & J.A.Armstr.","https://id.biodiversity.org.au/node/apni/2919089","Zieria parrisiae","Rutaceae",,"Parris' Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Grevillea mollis P. Olde & Molyneux ","https://id.biodiversity.org.au/node/apni/2890447","Grevillea mollis","Proteaceae",,"Soft Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Lindsaea brachypoda (Baker) Salomon ","https://id.biodiversity.org.au/node/apni/2902961","Lindsaea brachypoda","Lindsaeaceae",,"Short-footed Screw Fern","Lindsaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pterostylis vernalis (D.L. Jones) G.N. Backh.","https://id.biodiversity.org.au/name/apni/226107","Pterostylis vernalis","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Pterostylis chaetophora M.A. Clem. & D.L. Jones","https://id.biodiversity.org.au/name/apni/74270","Pterostylis chaetophora","Orchidaceae",,,"Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Leucopogon confertus Benth. ","https://id.biodiversity.org.au/node/apni/2895126","Leucopogon confertus","Ericaceae",,"Torrington Beard-heath","Epacridaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pezoporus wallicus wallicus","urn:lsid:biodiversity.org.au:afd.taxon:350c7a04-c587-4ca6-84b8-1f993eda8b11","Pezoporus wallicus wallicus","Psittacidae",,"Ground Parrot (eastern subsp.)","Psittacidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Gyrostemon thesioides (Hook. f.) A.S. George ","https://id.biodiversity.org.au/node/apni/2898598","Gyrostemon thesioides","Gyrostemonaceae",,,"Gyrostemonaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Caladenia attenuata (Brinsley) D.L.Jones","https://id.biodiversity.org.au/name/apni/175383","Caladenia attenuata","Orchidaceae",,"Duramana Fingers","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Philoria loveridgei","urn:lsid:biodiversity.org.au:afd.taxon:f1e8b187-acbb-472d-89e7-a1900b4acdc7","Philoria loveridgei","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Genoplesium plumosum (Rupp) D.L. Jones & M.A. Clem. ","https://id.biodiversity.org.au/node/apni/2894851","Genoplesium plumosum","Orchidaceae",,"Tallong Midge Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Dendrobium melaleucaphilum M. A. Clem. & D. L. Jones ","https://id.biodiversity.org.au/name/apni/86015","Dendrobium melaleucaphilum","Orchidaceae",,"Spider orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Ninox connivens","urn:lsid:biodiversity.org.au:afd.taxon:a64b3461-23eb-47fe-9cf1-5d639ea47670","Ninox (Hieracoglaux) connivens","Strigidae",,,"Strigidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Diuris tricolor Fitzg.","https://id.biodiversity.org.au/node/apni/2903119","Diuris tricolor","Orchidaceae",,"Pine Donkey Orchid","Orchidaceae","E2, V","Endangered Population, Vulnerable","Previously Diuris sheaffiana Fitzg.","Risk of disturbance and collection","2","10km"
"Genoplesium superbum D.L. Jones","https://id.biodiversity.org.au/name/apni/117491","Genoplesium superbum","Orchidaceae",,"Superb Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Thelymitra sp. adorata (B. Branwhite JAJ1030) J. Jeanes ined.","https://id.biodiversity.org.au/name/apni/233691","Thelymitra adorata","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Calyptorhynchus lathami","urn:lsid:biodiversity.org.au:afd.taxon:db6c2bba-e721-407d-bb54-7e5b0ade3376","Calyptorhynchus (Calyptorhynchus) lathami","Cacatuidae",,,"Cacatuidae","V, E2","Vulnerable, Endangered Population",,"Risk of egg collection and nest disturbance","2","10km"
"Grevillea beadleana McGillivray ","https://id.biodiversity.org.au/node/apni/2900555","Grevillea beadleana","Proteaceae",,"Beadle's Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Lindsaea fraseri Hook. ","https://id.biodiversity.org.au/node/apni/2906676","Lindsaea fraseri","Lindsaeaceae",,"Fraser's Screw Fern","Lindsaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Grevillea caleyi R. Br.","https://id.biodiversity.org.au/node/apni/2912335","Grevillea caleyi","Proteaceae",,,"Proteaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Neophema chrysogaster","urn:lsid:biodiversity.org.au:afd.taxon:bb3b5394-ebf7-41cc-8cd7-9f9bd28fa8e7","Neophema (Neonanodes) chrysogaster","Psittacidae",,,"Psittacidae","E4A","Critically Endangered",,"Risk of egg collection and nest disturbance","3","1km"
"Elymus multiflorus subsp. kingianus","https://id.biodiversity.org.au/taxon/apni/51291191","Anthosachne kingiana","Poaceae",,"Philip Island Wheat Grass","Poaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Choricarpia subargentea (C. White) L. Johnson ","https://id.biodiversity.org.au/node/apni/2888873","Backhousia subargentea","Myrtaceae",,"Giant Ironwood","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Thelymitra epipactoides F. Muell.","https://id.biodiversity.org.au/node/apni/2909701","Thelymitra epipactoides","Orchidaceae",,,"Orchidaceae","E4","Presumed Extinct",,"Risk of disturbance and collection","2","10km"
"Prostanthera staurophylla sensu stricto F. Muell.","ALA_Prostanthera_staurophylla_sensu_stricto_F_Muell","Prostanthera staurophylla sensu stricto F. Muell.",,,"Torrington Mint-bush","Lamiaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris disposita D.L.Jones ","https://id.biodiversity.org.au/name/apni/117435","Diuris disposita","Orchidaceae",,"Willawarrin Doubletail","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Caladenia rosella G.W. Carr ","https://id.biodiversity.org.au/node/apni/2894212","Caladenia rosella","Orchidaceae",,"Rosella Spider Orchid","Orchidaceae","E4","Presumed Extinct",,"Risk of disturbance and collection","2","10km"
"Eucalyptus imlayensis Crisp & Brooker ","https://id.biodiversity.org.au/node/apni/2899202","Eucalyptus imlayensis","Myrtaceae",,"Imlay Mallee","Myrtaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Eidothea hardeniana P.H. Weston & R.M. Kooyman ","https://id.biodiversity.org.au/node/apni/2908076","Eidothea hardeniana","Proteaceae",,"Nightcap Oak","Proteaceae","E1","Endangered","Previously Eidothea sp. “Nightcap Range” (P. H. Weston 2469)","Risk of disturbance","2","10km"
"Diuris sp. aff. chrysantha (Byron Bay) (D.L. Jones ORG 2761) ","ALA_Diuris_sp_aff_chrysantha_Byron_Bay_D_L_Jones_ORG_2761","Diuris sp. aff. chrysantha (Byron Bay) (D.L. Jones ORG 2761)",,,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Tyto novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:32b5f516-e4bc-4e81-b98a-c44c6dc84159","Tyto (Megastrix) novaehollandiae","Tytonidae",,,"Tytonidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Myriophyllum implicatum Orchard","https://id.biodiversity.org.au/node/apni/2889355","Myriophyllum implicatum","Haloragaceae",,,"Haloragaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Mixophyes iteratus","urn:lsid:biodiversity.org.au:afd.taxon:9eef5215-a3d4-4435-b82c-9284d730f002","Mixophyes iteratus","Myobatrachidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Thelymitra atronitida Jeanes","https://id.biodiversity.org.au/name/apni/164764","Thelymitra atronitida","Orchidaceae",,"Black-hooded Sun Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Grevillea iaspicula McGill.","https://id.biodiversity.org.au/node/apni/2897239","Grevillea iaspicula","Proteaceae",,"Wee Jasper Grevillea","Proteaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Hakea pulvinifera L. Johnson","https://id.biodiversity.org.au/node/apni/2917559","Hakea pulvinifera","Proteaceae",,"Lake Keepit Hakea","Proteaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Prasophyllum uroglossum Rupp ","https://id.biodiversity.org.au/node/apni/2915139","Prasophyllum fuscum","Orchidaceae",,"Wingecarribee Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Pimelea venosa Threlfall ","https://id.biodiversity.org.au/node/apni/2891541","Pimelea venosa","Thymelaeaceae",,"Bolivia Hill Pimelea","Thymelaeaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pomaderris adnata N.G. Walsh & F. Coates","https://id.biodiversity.org.au/node/apni/2896205","Pomaderris adnata","Rhamnaceae",,"Sublime Point Pomaderris","Rhamnaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Callocephalon fimbriatum","urn:lsid:biodiversity.org.au:afd.taxon:56514a28-86db-4296-be0f-5f96f46e07c4","Callocephalon fimbriatum","Cacatuidae",,,"Cacatuidae","E2, V","Endangered Population, Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
