"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Prasophyllum spicatum","https://id.biodiversity.org.au/node/apni/2914474","Prasophyllum spicatum","Orchidaceae",,"Orchids","P","K05185","Dense Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra latifolia","https://id.biodiversity.org.au/name/apni/230262","Thelymitra latifolia","Orchidaceae",,"Orchids","P","E32210","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis sp. Sandheath (D.Murfet 3190)","https://id.biodiversity.org.au/taxon/apni/51290647","Pterostylis corpulenta","Orchidaceae",,"Orchids","P","E04914","Tiny Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis tenuissima","https://id.biodiversity.org.au/node/apni/2918294","Pterostylis tenuissima","Orchidaceae",,"Orchids","P","M00850","Swamp Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia calcicola","https://id.biodiversity.org.au/node/apni/2918502","Caladenia calcicola","Orchidaceae",,"Orchids","P","S04361","Limestone Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Santalum lanceolatum","https://id.biodiversity.org.au/node/apni/2908232","Santalum lanceolatum","Santalaceae",,"Santalum","P","W00951","Plumbush","Grid references, lats and longs, detailed location descriptions","y","Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.",
"Caladenia woolcockiorum","https://id.biodiversity.org.au/node/apni/2887000","Caladenia woolcockiorum","Orchidaceae",,"Orchids","P","W05163","Woolcock's Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis arenicola","https://id.biodiversity.org.au/node/apni/2910874","Pterostylis arenicola","Orchidaceae",,"Orchids","P","Y04404","Sandhill Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum sp. Waterholes (R.Bates 9037)","ALA_Prasophyllum_sp_Waterholes_R_Bates_9037","Prasophyllum sp. Waterholes (R.Bates 9037)",,,"Orchids","P","Q06288","Pretty Waterholes Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Blechnum chambersii","https://id.biodiversity.org.au/taxon/apni/51269276","Blechnum chambersii","Blechnaceae",,"Ferns & Allies","P","C00053",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lophoictinia isura","urn:lsid:biodiversity.org.au:afd.taxon:f6edc452-91de-4ab0-9cf6-49ca23b82995","Lophoictinia isura","Accipitridae",,"Raptors","B","E00230",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Scaevola hookeri","https://id.biodiversity.org.au/node/apni/2907106","Scaevola hookeri","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q02004","Creeping Fanflower","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caleana major","https://id.biodiversity.org.au/name/apni/94865","Caleana major","Orchidaceae",,"Orchids","P","A00784","Large Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum pruinosum","https://id.biodiversity.org.au/name/apni/106077","Prasophyllum pruinosum","Orchidaceae",,"Orchids","P","E04746","Plum Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Swainsona murrayana","https://id.biodiversity.org.au/node/apni/2888731","Swainsona murrayana","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z20191","Murray Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum goldsackii","https://id.biodiversity.org.au/node/apni/2904487","Prasophyllum goldsackii","Orchidaceae",,"Orchids","P","G06291","Goldsack's Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra cyanapicata","https://id.biodiversity.org.au/node/apni/2909715","Thelymitra cyanapicata","Orchidaceae",,"Orchids","P","Q06040","Blue Top Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia venusta","https://id.biodiversity.org.au/name/apni/119075","Caladenia venusta","Orchidaceae",,"Orchids","P","C05149","Large White Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra inflata","https://id.biodiversity.org.au/name/apni/189578","Thelymitra inflata","Orchidaceae",,"Orchids","P","C06045","Plum Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lycopodium deuterodensum","https://id.biodiversity.org.au/node/apni/2894158","Lycopodium deuterodensum","Lycopodiaceae",,"Aquatics","P","W00019","Bushy Clubmoss","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra crenulata","https://id.biodiversity.org.au/name/apni/230250","Thelymitra crenulata (R.Bates 64389)","Orchidaceae",,"Orchids","P","M06162","Dark Bud Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium despectans","https://id.biodiversity.org.au/name/apni/66153","Genoplesium despectans","Orchidaceae",,"Orchids","P","Z00819","Sharp Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Paracaleana minor","https://id.biodiversity.org.au/name/apni/95930","Paracaleana minor","Orchidaceae",,"Orchids","P","Y00816","Small Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Utricularia lateriflora","https://id.biodiversity.org.au/node/apni/2903361","Utricularia lateriflora","Lentibulariaceae",,"Aquatics","P","Q02760","Small Bladderwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A)","ALA_Caladenia_sp_Monarto_South_H_Goldsack_163_AD97708605A","Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A)",,,"Orchids","P","E06266","Monarto Wispy Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Polytelis alexandrae","urn:lsid:biodiversity.org.au:afd.taxon:1ad0bddc-f761-45fb-ba4b-3a69d3e4bce9","Polytelis alexandrae","Psittacidae",,"Parrots","B","Z00279",,"All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Dipodium pardalinum","https://id.biodiversity.org.au/name/apni/166521","Dipodium pardalinum","Orchidaceae",,"Orchids","P","M05574","Leopard Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Nertera granadensis","https://id.biodiversity.org.au/node/apni/2918971","Nertera granadensis","Rubiaceae",,"Aquatics","P","E03946","Matted Nertera","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum murfetii","https://id.biodiversity.org.au/node/apni/2919977","Prasophyllum murfetii","Orchidaceae",,"Orchids","P","Q06068","Maroon Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Utricularia beaugleholei","https://id.biodiversity.org.au/node/apni/2891028","Utricularia beaugleholei","Lentibulariaceae",,"Aquatics","P","Q05400","Beauglehole's Bladderwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Nephrurus deleani ","urn:lsid:biodiversity.org.au:afd.taxon:06125aff-65f8-44f1-bb4a-afa372cb8180","Nephrurus deleani","Carphodactylidae",,,"R","U02102","Pernatty Knob-tailed Gecko","All known location records","y","The Pernatty Knob-tailed Gecko is endemic to SA and listed as Rare under the SA NP&W Act. The species has a restricted and patchy distribution and has been recorded on private land.  The species was identified as one of the top five non-CITES reptiles that are known or likely to be in international trade (UNEP-WCMC, 2009). Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993).","y"
"Eriochilus sp. Swamp (D.E.Murfet 1950b)","ALA_Eriochilus_sp_Swamp_D_E_Murfet_1950b","Eriochilus sp. Swamp (D.E.Murfet 1950b)",,,"Orchids","P","S06113","Swamp Bunnies","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Histiopteris incisa","https://id.biodiversity.org.au/node/apni/2903289","Histiopteris incisa","Dennstaedtiaceae",,"Ferns & Allies","P","M00058","Bat's-wing Fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Potamogeton australiensis","https://id.biodiversity.org.au/node/apni/7808489","Potamogeton australiensis","Potamogetonaceae",,"Aquatics","P","M00090",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lophochroa leadbeateri ","urn:lsid:biodiversity.org.au:afd.taxon:0217f06f-664c-4c64-bc59-1b54650fa23d","Lophochroa leadbeateri","Cacatuidae",,"Cockatoos","B","U00270","Major Mitchell's Cockatoo (listed as Cacatua leadbeateri under SA NPW Act)","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Pterostylis melagramma","https://id.biodiversity.org.au/name/apni/162018","Pterostylis melagramma","Orchidaceae",,"Orchids","P","W05747","Tall Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia macroclavia","https://id.biodiversity.org.au/node/apni/2892407","Caladenia macroclavia","Orchidaceae",,"Orchids","P","K05169","Large-club Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra peniculata","https://id.biodiversity.org.au/name/apni/188207","Thelymitra peniculata","Orchidaceae",,"Orchids","P","S32209","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Elanus scriptus","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Accipitridae",,"Raptors","B","K00233",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Calyptorhynchus lathami halmaturinus ","urn:lsid:biodiversity.org.au:afd.taxon:e51feb81-a1da-4251-b3fa-58b9bc2b1873","Calyptorhynchus (Calyptorhynchus) lathami halmaturinus","Cacatuidae",,"Cockatoos","B","C00265","Glossy Black-Cockatoo (Kangaroo Island subspecies)","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Thysanotus nudicaulis","https://id.biodiversity.org.au/node/apni/2891471","Thysanotus nudicaulis","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","U00706",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis bryophila","https://id.biodiversity.org.au/node/apni/2890523","Pterostylis bryophila","Orchidaceae",,"Orchids","P","S00845","Hindmarsh Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Brachyscome diversifolia","https://id.biodiversity.org.au/taxon/apni/51267772","Brachyscome diversifolia","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K04837","Tall Daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Calochilus cupreus","https://id.biodiversity.org.au/name/apni/98986","Calochilus cupreus","Orchidaceae",,"Orchids","P","A05172","Copper Beard-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra holmesii","https://id.biodiversity.org.au/name/apni/115464","Thelymitra holmesii","Orchidaceae",,"Orchids","P","Z32207","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum validum","https://id.biodiversity.org.au/node/apni/2894520","Prasophyllum validum","Orchidaceae",,"Orchids","P","W04399","Mount Remarkable Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lagenophora gracilis","https://id.biodiversity.org.au/node/apni/2915934","Lagenophora gracilis","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z03083",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Microtis orbicularis","https://id.biodiversity.org.au/name/apni/74047","Microtis orbicularis","Orchidaceae",,"Orchids","P","A00812","Swamp Onion-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Gastrodia vescula","https://id.biodiversity.org.au/name/apni/117461","Gastrodia vescula","Orchidaceae",,"Orchids","P","G05387","Lesser Potato Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis lepida","https://id.biodiversity.org.au/name/apni/226098","Pterostylis lepida","Orchidaceae",,"Orchids","P","K05645","Halbury Rustyhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Brachyscome melanocarpa","https://id.biodiversity.org.au/taxon/apni/51267833","Brachyscome melanocarpa","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","G02979","Black-fruit Daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra malvina","https://id.biodiversity.org.au/name/apni/115870","Thelymitra malvina","Orchidaceae",,"Orchids","P","U05470","Mauve-tufted Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia ovata","https://id.biodiversity.org.au/node/apni/2918916","Caladenia ovata","Orchidaceae",,"Orchids","P","G00779","Kangaroo Island Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis falcata","https://id.biodiversity.org.au/name/apni/74578","Pterostylis falcata","Orchidaceae",,"Orchids","P","Q30120","Forked Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Microtis eremaea","https://id.biodiversity.org.au/name/apni/163369","Microtis eremaea","Orchidaceae",,"Orchids","P","S06333","Slender Onion-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium ciliatum","https://id.biodiversity.org.au/name/apni/66149","Genoplesium ciliatum","Orchidaceae",,"Orchids","P","K00817","Swamp Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia tensa","https://id.biodiversity.org.au/node/apni/2896615","Caladenia tensa","Orchidaceae",,"Orchids","P","A05384","Inland Green-comb Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis chlorogramma","https://id.biodiversity.org.au/node/apni/2895281","Pterostylis chlorogramma","Orchidaceae",,"Orchids","P","C05749","Verdant Banded Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dianella callicarpa","https://id.biodiversity.org.au/node/apni/2909868","Dianella callicarpa","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A05544","Swamp Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia gracilis","https://id.biodiversity.org.au/name/apni/91555","Caladenia gracilis","Orchidaceae",,"Orchids","P","U00766","Musky Caladenia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Haliaeetus leucogaster","urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723","Haliaeetus (Pontoaetus) leucogaster","Accipitridae",,,"B","M00226",,"All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).","y","Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).",
"Swainsona vestita","https://id.biodiversity.org.au/node/apni/2899327","Swainsona vestita","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K05557",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia formosa","https://id.biodiversity.org.au/node/apni/2888253","Caladenia formosa","Orchidaceae",,"Orchids","P","M05150","Elegant Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Falco peregrinus","urn:lsid:biodiversity.org.au:afd.taxon:364d0d4b-e986-45af-b5da-bb372a3ad39c","Falco (Hierofalco) peregrinus","Falconidae",,"Raptors","B","S00237",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Scaevola calendulacea","https://id.biodiversity.org.au/node/apni/2895703","Scaevola calendulacea","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A02908",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona pyrophila","https://id.biodiversity.org.au/node/apni/2895241","Swainsona pyrophila","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z01791","Yellow Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis uliginosa","https://id.biodiversity.org.au/name/apni/156106","Pterostylis uliginosa","Orchidaceae",,"Orchids","P","W05675","Peat Bog Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,"Raptors","B","Q00236",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Xanthorrhoea minor ssp. lutea","ALA_Xanthorrhoea_minor_ssp_lutea","Xanthorrhoea minor ssp. lutea",,,"Garden Trade -Other Ornamental Horticulture plants","P","E04894","Little Yacca","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Schizaea bifida","https://id.biodiversity.org.au/node/apni/2913835","Schizaea bifida","Schizaeaceae",,"Ferns & Allies","P","Q00032","Forked Comb-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Dipodium punctatum","https://id.biodiversity.org.au/name/apni/79508","Dipodium punctatum","Orchidaceae",,"Orchids","P","Y05176","Dark Spotted Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
