"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Ornduffia umbricola var. beaugleholei","https://id.biodiversity.org.au/node/apni/2913635","Ornduffia umbricola var. beaugleholei","Menyanthaceae",,"Aquatics","P","U03618","Beauglehole's Marsh-flower","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum sp. Enigma (R.Bates 2350)","ALA_Prasophyllum_sp_Enigma_R_Bates_2350","Prasophyllum sp. Enigma (R.Bates 2350)",,,"Orchids","P","Y06292","Goldsack's Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia brumalis","https://id.biodiversity.org.au/node/apni/2918751","Caladenia brumalis","Orchidaceae",,"Orchids","P","W05147","Winter Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis lingua","https://id.biodiversity.org.au/name/apni/74889","Pterostylis lingua","Orchidaceae",,"Orchids","P","K06293","Swept-back Rufoushood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Najas tenuifolia","https://id.biodiversity.org.au/node/apni/2899774","Najas tenuifolia","Hydrocharitaceae",,"Aquatics","P","E00098","Water Nymph","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pycnosorus chrysanthes","https://id.biodiversity.org.au/node/apni/2906702","Pycnosorus chrysanthus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Y05484",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia flaccida","https://id.biodiversity.org.au/name/apni/117365","Caladenia flaccida","Orchidaceae",,"Orchids","P","M05142","Drooping Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Arthropodium milleflorum","https://id.biodiversity.org.au/node/apni/2902983","Arthropodium milleflorum","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A00660","Pale Vanilla-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia ornata","https://id.biodiversity.org.au/node/apni/2902262","Caladenia ornata","Orchidaceae",,"Orchids","P","Y06080","Ornate Pink Fingers","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Chiloglottis trapeziformis","https://id.biodiversity.org.au/name/apni/64836","Chiloglottis trapeziformis","Orchidaceae",,"Orchids","P","U00790",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dampiera lanceolata var. intermedia","https://id.biodiversity.org.au/node/apni/2917881","Dampiera lanceolata var. intermedia","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","C04373","Aldinga Dampiera","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
